sents,targets,Logistic Regression,Linear SVM,Neural Net
бедный_ADJF прасковья_NOUN иван_NOUN беспокоить_VERB из-за_PREP презренный_ADJF письмо_NOUN выразиться_VERB бомбардировать_INFN жалеть_VERB послужить_VERB невинный_ADJF причина_NOUN,1,1,1,1
лиза_NOUN пытаться_VERB вновь_ADVB бомбардировать_INFN вероломный_ADJF возлюбить_PRTF разговор_NOUN душа_NOUN угроза_NOUN,1,1,1,1
слово_NOUN обама_NOUN медиа_NOUN индустрия_NOUN круглосуточно_ADVB семь_NUMR день_NOUN неделя_NOUN бомбардировать_INFN человек_NOUN дать_PRTF самый_ADJF различный_ADJF род_NOUN причём_CONJ многие_NPRO являться_VERB достоверный_ADJF,1,1,1,1
карл_NOUN свой_ADJF выбор_NOUN остановить_VERB немой_ADJS находиться_GRND пост_NOUN посол_NOUN бухарест_NOUN граф_NOUN бомбардировать_INFN свой_ADJF венский_ADJF начальство_NOUN длинный_ADJF письмо_NOUN меморандум_NOUN настаивать_GRND необходимость_NOUN приступить_INFN мирный_ADJF переговоры_NOUN антанта_NOUN совпадать_VERB намерение_NOUN план_NOUN молодой_ADJF монарх_NOUN,1,1,1,1
постоянно_ADVB бомбардировать_INFN призыв_NOUN помощь_NOUN поэтому_ADVB реальный_ADJF участие_NOUN что-либо_NPRO нужный_ADJS веский_ADJF причина_NOUN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN,1,1,1,1
потребитель_NOUN поднимать_VERB голова_NOUN начинать_VERB бомбардировать_INFN бренд_NOUN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN,1,1,1,1
банк_NOUN продолжать_VERB бомбардировать_INFN повестка_NOUN суд_NOUN предложение_NOUN войти_INFN трудный_ADJF положение_NOUN реструктурировать_INFN кредит_NOUN продолжать_VERB+бомбардировать_INFN продолжать_VERB+бомбардировать_INFN продолжать_VERB+бомбардировать_INFN,1,1,1,1
алиса_NOUN подписываться_VERB стоить_VERB её_ADJF бомбардировать_INFN повод_NOUN забота_NOUN выше_ADVB крыша_NOUN,1,1,1,1
течение_NOUN день_NOUN бомбардировать_INFN телевизионный_ADJF коммерческий_ADJF реклама_NOUN рекламный_ADJF объявление_NOUN радио_NOUN реклама_NOUN газета_NOUN реклама_NOUN стенка_NOUN автобус_NOUN щит_NOUN объявление_NOUN течение_NOUN+день_NOUN течение_NOUN+день_NOUN течение_NOUN+день_NOUN,1,1,1,1
виновница_NOUN переполох_NOUN однако_CONJ спешить_VERB почивать_INFN лавр_NOUN продолжать_GRND бомбардировать_INFN рынок_NOUN новинка_NOUN автофокусный_ADJF зеркалка_NOUN предел_NOUN сша_NOUN известный_ADJF база_NOUN свежеиспечённый_ADJF байонет_NOUN,1,1,1,1
время_NOUN панегирик_NOUN адрес_NOUN ретиф_NOUN де_PRCL бретонна_NOUN начать_VERB бомбардировать_INFN данте_NOUN дзакканьинь_NOUN учёный_ADJF запойный_ADJF читатель_NOUN кайроу_NOUN штат_NOUN ньюйорк_NOUN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,1,1,1
объяснить_VERB польский_ADJF правительство_NOUN заключить_VERB договор_NOUN 41_NUMR начать_VERB бомбардировать_INFN ссср_NOUN просьба_NOUN вернуть_INFN поляков_NOUN имя_NOUN 43_NUMR год_NOUN нагло_ADVB врать_VERB начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,0,1,0
ещё_PRCL напоминать_VERB обстоятельство_NOUN начаться_VERB запрет_NOUN оружие_NOUN революция_NOUN 37_NUMR год_NOUN мужик_NOUN планомерно_ADVB настойчиво_ADVB бомбардировать_INFN мысль_NOUN оружие_NOUN доверять_VERB раб_NOUN,1,1,1,1
касаться_VERB влияние_NOUN пробиотик_NOUN здоровье_NOUN потребитель_NOUN вовсю_ADVB бомбардировать_INFN заявление_NOUN польза_NOUN сброженный_ADJF продукт_NOUN являться_VERB источник_NOUN живой_NOUN культура_NOUN весь_ADJF знать_VERB йогурт_NOUN,1,1,1,1
бомбардировать_INFN прошение_NOUN уважаемый_ADJF человек_NOUN космонавт_NOUN особенно_ADVB видеть_VERB иллюминатор_NOUN летать_PRTF тарелка_NOUN писать_VERB свой_ADJF буквоедство_NOUN мешать_VERB распространение_NOUN передовой_ADJF научный_ADJF идея_NOUN,1,1,1,1
человек_NOUN постоянно_ADVB бомбардировать_INFN противоречивый_ADJF информация_NOUN передаваемый_ADJF разный_ADJF орган_NOUN чувство_NOUN счастие_NOUN хороший_ADJF примиритель_NOUN арбитр_NOUN ум_NOUN синтезировать_VERB интегрировать_VERB сглаживать_VERB конфликт_NOUN свой_ADJF агент_NOUN постоянно_ADVB докладывать_VERB штаб_NOUN свой_ADJF различный_ADJF аванпост_NOUN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN,1,1,1,1
последующий_ADJF пятнадцать_NUMR минута_NOUN карл_NOUN буквально_ADVB бомбардировать_INFN подобный_ADJF детский_ADJF задача_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,0,1,0
сайт_NOUN откликаться_VERB потребность_NOUN должное_NOUN образ_NOUN реагировать_INFN многочисленный_ADJF поток_NOUN символически_ADVB насыщенный_ADJF сообщение_NOUN день_NOUN день_NOUN бомбардировать_INFN сознание_NOUN огромный_ADJF множество_NOUN человек_NOUN посредством_PREP телевидение_NOUN радио_NOUN пресса_NOUN кино_NOUN видеоигра_NOUN средство_NOUN электронный_ADJF культура_NOUN среди_PREP возрастать_PRTF роль_NOUN играть_VERB интернет_NOUN учитывать_GRND роль_NOUN проблематика_NOUN экология_NOUN масса_NOUN медиа_NOUN мультимедийный_ADJF грамотность_NOUN также_CONJ музыкальный_ADJF структурирование_NOUN сознание_NOUN современный_ADJF человек_NOUN житель_NOUN глобальный_ADJF деревня_NOUN современный_ADJF+человек_NOUN современный_ADJF+человек_NOUN современный_ADJF+человек_NOUN,1,1,1,1
хабаровский_ADJF межрайонный_ADJF природоохранный_ADJF прокуратура_NOUN ростехнадзор_NOUN бомбардировать_INFN местный_ADJF суд_NOUN исковый_ADJF заявление_NOUN требование_NOUN обязать_INFN руководство_NOUN водоканал_NOUN объяснить_INFN почему_ADVB орг_NOUN низации_NOUN чей_ADJF ведение_NOUN находиться_VERB канализационный_ADJF сеть_NOUN право_NOUN пользование_NOUN водный_ADJF объект_NOUN,1,1,1,1
изображение_NOUN бомбардировать_INFN телевидение_NOUN кино_NOUN персональный_ADJF компьютер_NOUN наглядно_ADVB демонстрировать_VERB мощь_NOUN современный_ADJF 3_NUMR графика_NOUN,1,1,1,1
течение_NOUN неделя_NOUN бомбардировать_INFN служба_NOUN поддержка_NOUN сервис_NOUN получить_VERB ответ_NOUN течение_NOUN+неделя_NOUN течение_NOUN+неделя_NOUN течение_NOUN+неделя_NOUN,1,1,1,1
последний_ADJF спустя_PREP около_PREP год_NOUN находить_VERB новый_ADJF мифический_ADJF долг_NOUN вновь_ADVB бомбардировать_INFN ультиматум_NOUN,1,1,1,1
начать_VERB регулярно_ADVB бомбардировать_INFN предложение_NOUN скачать_INFN новый_ADJF микс_NOUN оценить_INFN новый_ADJF проект_NOUN регулярно_ADVB+бомбардировать_INFN регулярно_ADVB+бомбардировать_INFN регулярно_ADVB+бомбардировать_INFN,1,1,1,1
неожиданно_ADVB влюбиться_VERB 19_NUMR летний_ADJF баронесса_NOUN александр_NOUN бистр_NOUN четыре_NUMR месяц_NOUN бомбардировать_INFN любовный_ADJF письмо_NOUN 20_NUMR 30_NUMR страница_NOUN день_NOUN описывать_VERB весь_ADJF свой_ADJF достоинство_NOUN недостаток_NOUN 20_NUMR+30_NUMR 20_NUMR+30_NUMR 20_NUMR+30_NUMR,1,0,1,0
увы_INTJ хотя_CONJ энтузиаст_NOUN бомбардировать_INFN свой_ADJF отчёт_NOUN предложение_NOUN минавиапром_NOUN ссср_NOUN нии_NOUN ввс_NOUN военно-воздушный_ADJF академия_NOUN имя_NOUN жуковский_ADJF кгб_NOUN ссср_NOUN отклик_NOUN находить_VERB,1,1,1,1
стать_VERB замкнутый_ADJF бомбардировать_INFN учёный_NOUN заведение_NOUN подробный_ADJF отчёт_NOUN весь_ADJF свой_ADJF изыскание_NOUN,1,1,1,1
ленин_NOUN бомбардировать_INFN украина_NOUN телеграмма_NOUN какой-то_ADJF 50_NUMR миллион_NOUN пудовый_ADJS хлеб_NOUN околеть_VERB весь_ADJF,1,1,1,1
сначала_ADVB нелишний_ADJS предпринять_INFN нежный_ADJF разведка_NOUN аккуратно_ADVB уточнить_INFN отчего_CONJ бесценный_ADJF приставать_VERB лишний_ADJF вроде_PRCL возможность_NOUN красавица_NOUN флюид_NOUN бомбардировать_INFN,1,0,1,0
министр_NOUN здравоохранение_NOUN соцразвитие_NOUN михаил_NOUN зурабов_NOUN бомбардировать_INFN парламент_NOUN демографический_ADJF идея_NOUN,1,1,1,1
компания_NOUN большой_COMP бомбардировать_INFN абонент_NOUN свой_ADJF кампания_NOUN вместо_PREP подойти_VERB вопрос_NOUN избирательно_ADVB утверждать_VERB г-жа_NOUN шмидт_NOUN,1,1,1,1
иначе_ADVB производитель_NOUN буквально_ADVB бомбардировать_INFN рынок_NOUN подобный_ADJF модель_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,1,1,1
почему_ADVB якобы_CONJ заказать_PRTF козлов_NOUN френкель_NOUN буквально_ADVB бомбардировать_INFN пресс_NOUN письмо_NOUN донос_NOUN козлов_NOUN делать_GRND глаз_NOUN общество_NOUN главное_NOUN враг_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,1,1,1
гипотетичный_ADJS представить_INFN повышение_NOUN скорость_NOUN количество_NOUN новый_ADJF элемент_NOUN бомбардировать_INFN старый_ADJF культура_NOUN столь_ADVB большой_ADJS неизбежно_ADVB привести_VERB разрушение_NOUN самый_ADJF структура_NOUN количество_NOUN новый_ADJF элемент_NOUN свой_ADJF выразиться_INFN культурообразовать_PRTF энергия_NOUN превзойти_VERB старый_ADJF,1,1,1,0
явно_ADVB потрясти_PRTF удаться_VERB обнаружить_INFN документ_NOUN ван_PRCL де_PRCL вивёр_NOUN начать_VERB бомбардировать_INFN свой_ADJF предшественник_NOUN должность_NOUN уоттс_NOUN электронный_ADJF письмо_NOUN сообщать_PRTF преждевременный_ADJF сверхоптимистичный_ADJF дать_PRTF запас_NOUN создать_VERB ложный_ADJF представление_NOUN компания_NOUN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,1,1,1
согласно_PREP исследование_NOUN 65_NUMR население_NOUN сша_NOUN считать_VERB постоянно_ADVB бомбардировать_INFN реклама_NOUN 59_NUMR уверить_PRTS реклама_NOUN оказывать_VERB никакой_ADJF влияние_NOUN потребительский_ADJF выбор_NOUN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN,1,1,1,1
напротив_CONJ рок-музыка_NOUN насильно_ADVB бомбардировать_INFN проповедь_NOUN взрослый_NOUN секс_NOUN извращение_NOUN подталкивать_GRND извратить_PRTF половый_ADJF поведение_NOUN,1,0,0,1
источник_NOUN бомбардировать_INFN бесконечный_ADJF факт_NOUN число_NOUN теория_NOUN понятие_NOUN,1,1,1,1
фильм_NOUN должный_ADJS быстрый_ADJF бомбардировать_INFN зритель_NOUN дать_INFN расслабиться_INFN,1,1,1,1
брат_NOUN держаться_VERB особняком_ADVB остальной_ADJF весь_ADJF время_NOUN бомбардировать_INFN врач_NOUN устный_ADJF письменный_ADJF заявление_NOUN нормальный_ADJF должный_ADJS сидеть_INFN психушка_NOUN,1,1,1,1
услуга_NOUN рекрутмент_NOUN признать_PRTS профессиональный_ADJF сервис_NOUN брокерство_NOUN резюме_NOUN соискатель_NOUN бомбардировать_INFN клиент_NOUN агентство_NOUN подбор_NOUN кандидат_NOUN знать_VERB агентство_NOUN представить_VERB качество_NOUN соискатель_NOUN иной_ADJF компания_NOUN,1,1,1,1
интересно_ADVB происходить_VERB потребитель_NOUN ежедневно_ADVB бомбардировать_INFN больший_ADJF количество_NOUN повторяться_PRTF реклама_NOUN марка_NOUN больший_ADJF+количество_NOUN больший_ADJF+количество_NOUN больший_ADJF+количество_NOUN,1,1,1,1
близкий_COMP 2012_NUMR год_NOUN большой_COMP бомбардировать_INFN публикация_NOUN апокалипсис_NOUN основать_PRTF календарь_NOUN майя_NOUN регулярный_ADJF объявление_NOUN конец_NOUN свет_NOUN,1,1,1,1
регулярно_ADVB писать_VERB письмо_NOUN заботливо_ADVB справляться_VERB состояние_NOUN здоровье_NOUN бомбардировать_INFN подробный_ADJF отчёт_NOUN достоинство_NOUN джулиан_NOUN красота_NOUN успех_NOUN учёба_NOUN,1,1,1,1
1946_NUMR 1947_NUMR год_NOUN капица_NOUN буквально_ADVB бомбардировать_INFN вождь_NOUN сталин_NOUN маленков_NOUN берия_NOUN письмо_NOUN утверждаться_VERB опыт_NOUN война_NOUN совершенно_ADVB изменить_VERB представление_NOUN роль_NOUN значение_NOUN наука_NOUN приводиться_VERB аргумент_NOUN польза_NOUN создание_NOUN особый_ADJF вуз_NOUN полноценно_ADVB раскрыться_VERB специальный_ADJF метод_NOUN обучение_NOUN рассчитать_PRTF максимальный_ADJF развитие_NOUN творческий_ADJF инициатива_NOUN индивидуально_ADVB приспособить_PRTF особенность_NOUN каждый_ADJF учащийся_ADJF буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,1,1,1
битва_NOUN сознание_NOUN потребитель_NOUN восприниматься_VERB своеобразный_ADJF игра_NOUN компания_NOUN стремиться_VERB заполучить_INFN расположение_NOUN бомбардировать_INFN реклама_NOUN акция_NOUN интерес_NOUN понаблюдать_VERB попытка_NOUN,1,1,1,1
долгий_ADJF неделя_NOUN крупный_ADJF событие_NOUN бомбардировать_INFN свидетельство_NOUN очевидец_NOUN сотня_NOUN прокручивать_VERB кадр_NOUN шокировать_VERB ранее_ADVB неизвестный_ADJF подробность_NOUN,1,1,1,1
бомбардировать_INFN реклама_NOUN персонально_ADVB,1,1,1,1
сто_NOUN день_NOUN протяжение_NOUN страна_NOUN буквально_ADVB бомбардировать_INFN разоблачение_NOUN чей_ADJF размах_NOUN выходить_VERB рамка_NOUN трагический_ADJF событие_NOUN зима_NOUN год_NOUN нант_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,1,1,1
новый_ADJF талант_NOUN самозародиться_VERB настойчивость_NOUN достойный_ADJF хороший_ADJF применение_NOUN бомбардировать_INFN сообщник_NOUN свой_ADJF высокохудожественный_ADJF рецензия_NOUN,1,0,1,1
целый_ADJF год_NOUN безрезультатно_ADVB бомбардировать_INFN высокий_ADJF инстанция_NOUN рапорт_NOUN просьба_NOUN отправить_INFN фронт_NOUN июнь_NOUN 1942_NUMR го_NOUN попросту_ADVB сбежать_VERB война_NOUN опытный_ADJF истребитель_NOUN лагга_NOUN 3_NUMR сделать_GRND прощание_NOUN мёртвый_NOUN петлить_VERB мост_NOUN волга_NOUN,1,0,1,0
оглядываться_GRND назад_ADVB думать_VERB сменить_VERB рекламный_ADJF агентство_NOUN начать_VERB бомбардировать_INFN потребитель_NOUN ещё_PRCL больший_ADJF число_NOUN резон_NOUN почему_ADVB имя_NOUN следовать_VERB покупать_INFN сделать_VERB поздний_COMP мочь_VERB подействовать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,1,1,1
вокруг_ADVB курс_NOUN пастись_VERB немало_ADVB рекрутинговый_ADJF компания_NOUN бомбардировать_INFN недавний_ADJF выпускник_NOUN заманчивый_ADJF предложение_NOUN,1,1,1,1
буквально_ADVB бомбардировать_INFN служба_NOUN 911_NUMR свой_ADJF нелепый_ADJF звонок_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,1,1,1
средство_NOUN массовый_ADJF информация_NOUN бомбардировать_INFN духовный_ADJF основа_NOUN общество_NOUN средство_NOUN+массовый_ADJF средство_NOUN+массовый_ADJF средство_NOUN+массовый_ADJF,1,1,1,1
последний_ADJF несколько_ADVB год_NOUN сми_NOUN бомбардировать_INFN публика_NOUN сообщение_NOUN новый_ADJF эпидемия_NOUN грипп_NOUN десятилетие_NOUN назад_ADVB журналист_NOUN твердить_VERB быстро_ADVB стать_PRTF штамп_NOUN фраза_NOUN чума_NOUN век_NOUN синдром_NOUN приобрести_PRTF иммунодефицит_NOUN несколько_ADVB+год_NOUN несколько_ADVB+год_NOUN несколько_ADVB+год_NOUN,1,1,1,1
слушатель_NOUN непрерывно_ADVB бомбардировать_INFN разглагольствование_NOUN набитый_ADJF тема_NOUN утратить_PRTF подлинный_ADJF значение_NOUN представлять_PRTF пустота_NOUN заполнять_PRTF случайно_ADVB прийти_PRTF голова_NOUN мысль_NOUN,1,1,1,1
свидетель_NOUN участник_NOUN какой-то_ADJF смысл_NOUN инициатор_NOUN событие_NOUN поэтому_ADVB неудивительно_ADVB группа_NOUN люден_NOUN протяжение_NOUN последний_ADJF год_NOUN бомбардировать_INFN соответствующий_ADJF запрос_NOUN официальный_ADJF неофициальный_ADJF просьба_NOUN споспешествовать_INFN напоминание_NOUN гражданский_ADJF долг_NOUN последний_ADJF+год_NOUN,1,1,1,1
считать_VERB стоить_VERB бомбардировать_INFN конкретный_ADJF компания_NOUN скорее_CONJ стоить_VERB положиться_INFN естественный_ADJF ход_NOUN вещий_ADJF рынок_NOUN,1,1,1,1
средство_NOUN массовый_ADJF информация_NOUN год_NOUN бомбардировать_INFN информация_NOUN 2012_NUMR год_NOUN мочь_VERB стать_INFN конец_NOUN существование_NOUN планета_NOUN земля_NOUN значит_CONJ человечество_NOUN целое_NOUN средство_NOUN+массовый_ADJF мочь_VERB+стать_INFN средство_NOUN+массовый_ADJF мочь_VERB+стать_INFN средство_NOUN+массовый_ADJF мочь_VERB+стать_INFN,1,1,1,1
образовательный_ADJF медицинский_ADJF учреждение_NOUN видимо_ADVB привыкнуть_VERB бомбардировать_INFN минфин_NOUN россия_NOUN письмо_NOUN связанный_ADJF возможность_NOUN применение_NOUN плата_NOUN,1,1,1,1
некоторый_ADJF житель_NOUN северо-восток_NOUN сша_NOUN принять_VERB свет_NOUN нло_NOUN отмечать_VERB бомбардировать_INFN телеканал_NOUN сообщение_NOUN странный_ADJF свет_NOUN появиться_PRTF небо_NOUN,1,1,1,1
пустозерский_ADJF ссылка_NOUN отправить_PRTS артамон_NOUN бомбардировать_INFN новое_NOUN царь_NOUN оправдательный_ADJF письмо_NOUN часто_ADVB поминать_VERB гаден_NOUN ссылаться_VERB авторитет_NOUN,1,1,1,1
адвокат_NOUN продолжать_VERB бомбардировать_INFN прокурор_NOUN продолжать_VERB+бомбардировать_INFN продолжать_VERB+бомбардировать_INFN продолжать_VERB+бомбардировать_INFN,1,1,1,1
вклиниться_GRND обмен_NOUN дать_PRTF заводить_VERB знакомство_NOUN впоследствии_ADVB начинать_VERB бомбардировать_INFN новый_ADJF знакомый_ADJF порнографический_ADJF изображение_NOUN посылать_INFN словесный_ADJF послание_NOUN гадкий_ADJF слово_NOUN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN,1,1,1,1
епископ_NOUN гермоген_NOUN илиодор_NOUN стать_VERB бомбардировать_INFN государь_NOUN телеграмма_NOUN умолять_GRND принимать_INFN распутин_NOUN,1,1,1,1
во-вторых_CONJ начало_NOUN монетизация_NOUN многократно_ADVB бомбардировать_INFN правительство_NOUN запрос_NOUN положение_NOUN труженик_NOUN тыл_NOUN,1,1,1,1
несмотря_PREP требование_NOUN дополнительный_ADJF социальный_ADJF гарантия_NOUN потерять_VERB родитель_NOUN период_NOUN великий_ADJF отечественный_ADJF абсолютно_ADVB справедливый_ADJS несмотря_PREP многократно_ADVB бомбардировать_INFN правительство_NOUN запрос_NOUN предложение_NOUN тема_NOUN несмотря_PREP весь_ADJF власть_NOUN остаться_VERB глухой_ADJS немой_ADJS великий_ADJF+отечественный_ADJF великий_ADJF+отечественный_ADJF великий_ADJF+отечественный_ADJF,1,1,1,1
прямо_ADVB ход_NOUN доклад_NOUN бомбардировать_INFN докладчик_NOUN вопрос_NOUN ничуть_ADVB стесняться_GRND вопрос_NOUN мочь_VERB показать_INFN непонимание_NOUN доклад_NOUN,1,1,1,1
вместо_PREP приветствие_NOUN адрес_NOUN многотысячный_ADJF трудовой_ADJF коллектив_NOUN вологодский_ADJF чиновник_NOUN бомбардировать_INFN комбинат_NOUN угроза_NOUN запрет_NOUN стремиться_GRND стать_VERB сорвать_INFN пуск_NOUN,1,1,1,1
напрасно_ADVB вглядываться_VERB честной_ADJF открытый_ADJF лицо_NOUN напрасно_ADVB бомбардировать_INFN вопрос_NOUN бомбардировать_INFN+вопрос_NOUN бомбардировать_INFN+вопрос_NOUN бомбардировать_INFN+вопрос_NOUN,1,1,1,1
большинство_NOUN женский_ADJF журнал_NOUN бомбардировать_INFN свой_ADJF молодая_NOUN читательница_NOUN статья_NOUN сексуальность_NOUN техника_NOUN секс_NOUN,1,1,1,1
зарегистрироваться_GRND несколько_NUMR начинать_VERB бомбардировать_INFN почтовый_ADJF ящик_NOUN остальной_ADJF интернетчик_NOUN предложение_NOUN посетить_INFN дать_PRTF проект_NOUN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN,1,1,1,1
федосов_NOUN продолжать_VERB бомбардировать_INFN властный_ADJF партийный_ADJF орган_NOUN жалоба_NOUN продолжать_VERB+бомбардировать_INFN продолжать_VERB+бомбардировать_INFN продолжать_VERB+бомбардировать_INFN,1,1,1,1
