,sents,targets,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
10,бомбардировать_INFN сообщение_NOUN сми_NOUN врач_NOUN последний_ADJF новомодный_ADJF диета_NOUN говорящий_ADJF пища_NOUN должный_ADJS считать_INFN привлекательный_ADJF,1,0.0,0.0,0.0,0.0,0.050224923,0.0,0.34777397,0.0,0.0,0.0,0.01638509,0.0,0.0,0.0,0.0,0.0,0.5000794,0.0,0.0,0.0033163205,0.0,0.0,0.0008759728,0.0,0.0,0.0,0.081344225,0.0,0.0,0.0
11,буквально_ADVB бомбардировать_INFN служба_NOUN 911_NUMR свой_ADJF нелепый_ADJF звонок_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1262098,0.0,0.0,0.0,0.05787432,0.0,0.00022632582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4536005,0.0,0.0,0.0,0.36208904,0.0,0.0,0.0
12,председатель_NOUN фрс_NOUN иллюзионист_NOUN бен_NOUN бернанка_NOUN регулярно_ADVB бомбардировать_INFN американский_ADJF рынок_NOUN тонна_NOUN долларовый_ADJF наличность_NOUN пытаться_GRND самый_ADJF создать_INFN временной_ADJF ощущение_NOUN рост_NOUN экономика_NOUN регулярно_ADVB+бомбардировать_INFN регулярно_ADVB+бомбардировать_INFN регулярно_ADVB+бомбардировать_INFN,1,0.10727193,0.0,0.00047724677,0.0,0.0,0.0,0.013665611,0.0,0.0,0.0,0.014122124,0.0,0.020357242,0.075346105,0.0,0.0,0.0,0.0,0.0,0.3308404,0.09996092,0.0,0.10514735,0.0,0.0,0.0,0.0063167545,0.0,0.0,0.22649428
13,объём_NOUN дневный_ADJF порция_NOUN письмо_NOUN бомбардировать_INFN почтовый_ADJF ящик_NOUN пользователь_NOUN интернет_NOUN начинать_VERB превышать_INFN весь_ADJF разумный_ADJF рамка_NOUN,1,0.00037110204,0.0,0.0,0.0,0.30884486,0.0,0.00048681226,0.0,0.0,0.0,0.019205747,0.0,0.0,0.0,0.0817127,0.0,0.10711771,0.0,0.0,0.11595017,0.0,0.0,0.23950562,0.0,0.0,0.0,0.12680529,0.0,0.0,0.0
14,бомбардировать_INFN газета_NOUN письмо_NOUN наравне_ADVB откровенный_ADJF псих_NOUN хотя_CONJ правда_NOUN говорить_GRND особенно_ADVB отличаться_VERB,1,0.0,0.0,0.04101744,0.0,0.0,0.0,0.4259224,0.0,0.0,0.0,0.12440665,0.0,0.0,0.0,0.0,0.0,0.16183594,0.0,0.0,0.0,0.0,0.0132936165,0.0008691564,0.0,0.0,0.0,0.2326547,0.0,0.0,0.0
15,часы_NOUN день_NOUN начать_VERB бомбардировать_INFN телефон_NOUN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2245205,0.0,0.0,0.002320067,0.0,0.0,0.0,0.0,0.09678773,0.03036625,0.0,0.0,0.0,0.0,0.0,0.0,0.64600545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,итог_NOUN правый_ADJS весь_ADJF крайний_ADJF оставаться_VERB обороноспособность_NOUN страна_NOUN офицер_NOUN обложиться_GRND юридический_ADJF литература_NOUN начинать_VERB бомбардировать_INFN суд_NOUN иск_NOUN отбывать_GRND служба_NOUN номер_NOUN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN,1,0.0,0.0,0.041451357,0.0,0.00014532199,0.0,0.0014137897,0.0,0.0046346877,0.0478456,0.0,0.0001684494,0.111545414,0.5339991,0.0,0.08199666,0.0,0.0,0.002711605,0.0,0.0,0.09014505,0.001888854,0.0,0.0,0.0,0.081957325,9.671486e-05,0.0,0.0
17,управление_NOUN мышление_NOUN мочь_VERB мощный_ADJF наступательный_ADJF оружие_NOUN намного_ADVB простой_ADJF принуждение_NOUN враг_NOUN сдача_NOUN военный_ADJF бомбёжка_NOUN физический_ADJF действие_NOUN радиопередатчик_NOUN нацелить_PRTF встроить_PRTF мозг_NOUN человек_NOUN приёмник_NOUN мочь_VERB бомбардировать_INFN жертва_NOUN приказ_NOUN сдача_NOUN,1,0.0,0.0,0.0,0.0,0.26260802,0.0,0.14216074,0.0,0.0013463086,0.0,0.0,0.0,0.00095070625,0.0,0.0,0.3475304,0.0,0.0,0.0,0.20471458,0.0,0.0,0.040689286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,прохождение_NOUN город_NOUN бомбардировать_INFN песня_NOUN изумительный_ADJF мир_NOUN луис_NOUN армстронг_NOUN стиль_NOUN техный_ADJS,1,0.11152501,0.0,0.40451667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05699189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12017542,0.0,0.0,0.0,0.024285402,0.0,0.17184344,0.11066218
19,дать_PRTF ситуация_NOUN буквально_ADVB бомбардировать_INFN жалоба_NOUN обращение_NOUN различный_ADJF инстанция_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,0.0,0.0,0.0015005531,0.0,0.27479357,0.0,0.21421048,0.0,0.0,0.0,0.0,0.0,0.0,0.4835883,0.0,0.0,0.009697466,0.0,0.0,0.015990468,0.0,0.0,0.00021911596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,бедный_ADJF прасковья_NOUN иван_NOUN беспокоить_VERB из-за_PREP презренный_ADJF письмо_NOUN выразиться_VERB бомбардировать_INFN жалеть_VERB послужить_VERB невинный_ADJF причина_NOUN,1,0.0,0.0,0.12331884,0.0,0.0,0.0,0.31389484,0.0,0.0,0.0,0.0,0.0,0.0,0.00044048694,0.0,0.0,0.0,0.18088272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03556123,0.34590188,0.0,0.0,0.0
21,лиза_NOUN пытаться_VERB вновь_ADVB бомбардировать_INFN вероломный_ADJF возлюбить_PRTF разговор_NOUN душа_NOUN угроза_NOUN,1,0.0,0.0,0.012568733,0.0,0.0,0.0,0.20311368,0.0,0.0,0.0,7.523248e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015002334,0.78274214,0.0,0.0,0.0
22,слово_NOUN обама_NOUN медиа_NOUN индустрия_NOUN круглосуточно_ADVB семь_NUMR день_NOUN неделя_NOUN бомбардировать_INFN человек_NOUN дать_PRTF самый_ADJF различный_ADJF род_NOUN причём_CONJ многие_NPRO являться_VERB достоверный_ADJF,1,9.919911e-05,0.0,0.093043365,0.0,0.11349938,0.0,0.3300654,0.0,0.0,0.0,0.27762735,0.0,0.0,0.0,0.0,0.0,0.11758082,0.0,0.0,0.00014051593,0.0,0.0,0.0047993553,0.0,0.008256322,0.0,0.001844018,0.046619326,0.0064249425,0.0
23,карл_NOUN свой_ADJF выбор_NOUN остановить_VERB немой_ADJS находиться_GRND пост_NOUN посол_NOUN бухарест_NOUN граф_NOUN бомбардировать_INFN свой_ADJF венский_ADJF начальство_NOUN длинный_ADJF письмо_NOUN меморандум_NOUN настаивать_GRND необходимость_NOUN приступить_INFN мирный_ADJF переговоры_NOUN антанта_NOUN совпадать_VERB намерение_NOUN план_NOUN молодой_ADJF монарх_NOUN,1,0.0,0.053705603,0.0,0.0,0.0074847382,0.034925114,0.2328551,0.0,0.0,0.0,0.0,0.0,0.0,0.5532985,0.0,0.07609111,0.0076251216,9.898623e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03391577
24,постоянно_ADVB бомбардировать_INFN призыв_NOUN помощь_NOUN поэтому_ADVB реальный_ADJF участие_NOUN что-либо_NPRO нужный_ADJS веский_ADJF причина_NOUN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN,1,0.0,0.0,0.0,0.0,0.001525471,0.0,0.78953516,0.0,0.0,0.0,0.0,0.000551432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050849677,0.0,0.0,0.13916326,0.0,0.0,0.0,0.06413969,0.0,0.0,0.0
25,потребитель_NOUN поднимать_VERB голова_NOUN начинать_VERB бомбардировать_INFN бренд_NOUN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11541446,0.0,0.0,0.07561295,0.0,0.0,0.518223,0.0,0.0,0.0,0.2907496,0.0,0.0,0.0
26,банк_NOUN продолжать_VERB бомбардировать_INFN повестка_NOUN суд_NOUN предложение_NOUN войти_INFN трудный_ADJF положение_NOUN реструктурировать_INFN кредит_NOUN продолжать_VERB+бомбардировать_INFN продолжать_VERB+бомбардировать_INFN продолжать_VERB+бомбардировать_INFN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.001592745,0.0,0.0,0.0,0.0,0.0,0.0,0.8993272,0.0,0.0,0.0,0.0,0.0,0.039806794,0.0,0.0,0.0,0.0,0.0,0.0,0.05927315,0.0,0.0,0.0
27,алиса_NOUN подписываться_VERB стоить_VERB её_ADJF бомбардировать_INFN повод_NOUN забота_NOUN выше_ADVB крыша_NOUN,1,0.0,0.0,0.0,0.0,0.14527851,0.0,0.026034916,0.028736455,0.0,0.0,0.0,0.0,0.0,0.19426861,0.0,0.0,0.0,0.0,0.0009972145,0.0,0.0,0.0,0.25694713,0.0,0.0,0.0,0.32242444,0.0,0.0,0.025312724
28,течение_NOUN день_NOUN бомбардировать_INFN телевизионный_ADJF коммерческий_ADJF реклама_NOUN рекламный_ADJF объявление_NOUN радио_NOUN реклама_NOUN газета_NOUN реклама_NOUN стенка_NOUN автобус_NOUN щит_NOUN объявление_NOUN течение_NOUN+день_NOUN течение_NOUN+день_NOUN течение_NOUN+день_NOUN,1,0.0,0.0,0.0,0.0,0.0012554101,0.00015145165,0.009998968,0.008188637,0.0,0.0,0.5359103,0.0,0.066905364,0.0018693077,0.0,0.0,0.0,0.0,0.0024340157,0.0,0.0,0.008856558,0.3505058,0.0,0.0,0.0,0.0,0.013142899,0.00078120804,0.0
29,виновница_NOUN переполох_NOUN однако_CONJ спешить_VERB почивать_INFN лавр_NOUN продолжать_GRND бомбардировать_INFN рынок_NOUN новинка_NOUN автофокусный_ADJF зеркалка_NOUN предел_NOUN сша_NOUN известный_ADJF база_NOUN свежеиспечённый_ADJF байонет_NOUN,1,0.032533526,0.088964224,0.059014942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13968877,0.0,0.0,0.0,0.0,0.00072906975,0.0,0.00045312667,0.0,0.13777313,0.0,0.0,0.37629172,0.0,0.0020445513,0.0,0.16113664,0.0,0.0,0.0013702121
30,время_NOUN панегирик_NOUN адрес_NOUN ретиф_NOUN де_PRCL бретонна_NOUN начать_VERB бомбардировать_INFN данте_NOUN дзакканьинь_NOUN учёный_ADJF запойный_ADJF читатель_NOUN кайроу_NOUN штат_NOUN ньюйорк_NOUN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,0.10115813,0.091312334,0.58203405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10907975,0.0,0.0,0.0,0.0,0.00090419693,0.0,0.034838695,0.0,0.0,0.0,0.0,0.019481914,0.0,0.0,0.06119079
31,объяснить_VERB польский_ADJF правительство_NOUN заключить_VERB договор_NOUN 41_NUMR начать_VERB бомбардировать_INFN ссср_NOUN просьба_NOUN вернуть_INFN поляков_NOUN имя_NOUN 43_NUMR год_NOUN нагло_ADVB врать_VERB начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1389897,0.0,0.0027297176,0.0008546715,0.0,0.0,0.0,0.34983355,0.0,0.0,0.0,0.0001336346,0.0,0.0,0.15450214,0.10483048,0.0,0.0,0.0063144593,0.0512337,0.19057794,0.0,0.0,0.0
32,ещё_PRCL напоминать_VERB обстоятельство_NOUN начаться_VERB запрет_NOUN оружие_NOUN революция_NOUN 37_NUMR год_NOUN мужик_NOUN планомерно_ADVB настойчиво_ADVB бомбардировать_INFN мысль_NOUN оружие_NOUN доверять_VERB раб_NOUN,1,0.0074836505,0.0,0.0,0.0,0.0,0.0,0.64138424,0.00062620715,0.0,0.0,0.0,0.0,0.0,0.1107218,0.0,0.038490348,0.0053955074,0.0,0.0,0.0,0.05264786,0.0,0.025805365,0.0,0.018996315,0.0,0.09844874,0.0,0.0,0.0
33,касаться_VERB влияние_NOUN пробиотик_NOUN здоровье_NOUN потребитель_NOUN вовсю_ADVB бомбардировать_INFN заявление_NOUN польза_NOUN сброженный_ADJF продукт_NOUN являться_VERB источник_NOUN живой_NOUN культура_NOUN весь_ADJF знать_VERB йогурт_NOUN,1,0.0,0.0,0.03891594,0.0,0.00018712103,0.0021622658,0.3347493,0.0,0.0,0.0,0.0,0.0,0.0,0.00086419424,0.0,0.0,0.17886405,0.0,0.0,0.31189054,0.0,0.011421946,0.118424,0.0,0.0,0.0,0.00024194043,0.0,0.0,0.0022786814
34,бомбардировать_INFN прошение_NOUN уважаемый_ADJF человек_NOUN космонавт_NOUN особенно_ADVB видеть_VERB иллюминатор_NOUN летать_PRTF тарелка_NOUN писать_VERB свой_ADJF буквоедство_NOUN мешать_VERB распространение_NOUN передовой_ADJF научный_ADJF идея_NOUN,1,0.0,0.045403674,0.0,0.0,0.0,6.72848e-05,0.11625644,0.0,0.00014046545,0.0,0.0,0.0,0.0,0.014117402,0.0,0.015618962,0.08739831,0.014639116,0.0,0.24319558,0.0,0.018351737,0.2697966,0.0,0.0,0.00029311425,0.17472127,0.0,0.0,0.0
35,человек_NOUN постоянно_ADVB бомбардировать_INFN противоречивый_ADJF информация_NOUN передаваемый_ADJF разный_ADJF орган_NOUN чувство_NOUN счастие_NOUN хороший_ADJF примиритель_NOUN арбитр_NOUN ум_NOUN синтезировать_VERB интегрировать_VERB сглаживать_VERB конфликт_NOUN свой_ADJF агент_NOUN постоянно_ADVB докладывать_VERB штаб_NOUN свой_ADJF различный_ADJF аванпост_NOUN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN,1,0.0,0.0029274235,9.853492e-05,0.0,0.21159863,0.0,0.14841242,0.0,0.0036335224,0.053583957,0.028049901,0.0018821525,0.03287579,0.007126268,0.0,0.05854814,0.001001354,0.0,0.0,0.08988564,0.0,0.0,0.0,0.0,0.0,5.5566587e-05,0.36032063,0.0,0.0,0.0
36,последующий_ADJF пятнадцать_NUMR минута_NOUN карл_NOUN буквально_ADVB бомбардировать_INFN подобный_ADJF детский_ADJF задача_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,0.0,0.0,0.032968227,0.0,0.09179733,0.0,0.115036294,0.1416545,0.0,0.0,0.0012894315,0.002550358,0.0,0.0,0.0,0.00025792257,0.00014853445,0.0,0.0,0.093251735,0.0,0.0,0.33013496,0.0,0.0,0.0,0.0024633466,0.0,0.0,0.18844733
37,сайт_NOUN откликаться_VERB потребность_NOUN должное_NOUN образ_NOUN реагировать_INFN многочисленный_ADJF поток_NOUN символически_ADVB насыщенный_ADJF сообщение_NOUN день_NOUN день_NOUN бомбардировать_INFN сознание_NOUN огромный_ADJF множество_NOUN человек_NOUN посредством_PREP телевидение_NOUN радио_NOUN пресса_NOUN кино_NOUN видеоигра_NOUN средство_NOUN электронный_ADJF культура_NOUN среди_PREP возрастать_PRTF роль_NOUN играть_VERB интернет_NOUN учитывать_GRND роль_NOUN проблематика_NOUN экология_NOUN масса_NOUN медиа_NOUN мультимедийный_ADJF грамотность_NOUN также_CONJ музыкальный_ADJF структурирование_NOUN сознание_NOUN современный_ADJF человек_NOUN житель_NOUN глобальный_ADJF деревня_NOUN современный_ADJF+человек_NOUN современный_ADJF+человек_NOUN современный_ADJF+человек_NOUN,1,0.0,0.0,0.023182914,0.037480816,0.14152794,0.041540183,0.06352293,0.0,0.0,0.0,0.23000075,0.0,0.0,0.0,0.004614768,0.0,0.00020863072,0.0,0.0,0.22416936,0.0,0.0017149932,0.10882439,9.768383e-05,0.045393586,0.0,1.5874986e-05,0.016074486,0.026893184,0.034737553
38,хабаровский_ADJF межрайонный_ADJF природоохранный_ADJF прокуратура_NOUN ростехнадзор_NOUN бомбардировать_INFN местный_ADJF суд_NOUN исковый_ADJF заявление_NOUN требование_NOUN обязать_INFN руководство_NOUN водоканал_NOUN объяснить_INFN почему_ADVB орг_NOUN низации_NOUN чей_ADJF ведение_NOUN находиться_VERB канализационный_ADJF сеть_NOUN право_NOUN пользование_NOUN водный_ADJF объект_NOUN,1,0.0046370956,0.0,0.0,0.0,0.035823658,0.058619726,0.1263964,0.13504894,0.0,0.0,0.0,0.0,0.25710756,0.27753925,0.00023502423,0.0,0.0,0.0,0.07898131,0.02269129,0.0,0.0,0.0,0.0,0.0,0.0,0.0029197389,0.0,0.0,0.0
39,изображение_NOUN бомбардировать_INFN телевидение_NOUN кино_NOUN персональный_ADJF компьютер_NOUN наглядно_ADVB демонстрировать_VERB мощь_NOUN современный_ADJF 3_NUMR графика_NOUN,1,0.0,0.109330386,0.0032614898,0.0,0.38173357,0.0,0.0,0.0,0.0,0.0,0.2868137,0.0,0.0,0.0,0.0,0.0,0.010767115,0.0,0.0,0.17063858,0.0,0.029914312,0.0075408653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,течение_NOUN неделя_NOUN бомбардировать_INFN служба_NOUN поддержка_NOUN сервис_NOUN получить_VERB ответ_NOUN течение_NOUN+неделя_NOUN течение_NOUN+неделя_NOUN течение_NOUN+неделя_NOUN,1,0.0,0.0,0.0024842988,0.0,0.30293268,0.0,0.06064234,0.0,0.028615966,0.0,0.0,0.0,0.010326487,0.30094445,0.0,0.02697813,0.0,0.0,0.010772539,0.0,0.0,0.0,0.08353943,0.0,0.0,0.0,0.0,0.0,0.17066908,0.0020946453
41,последний_ADJF спустя_PREP около_PREP год_NOUN находить_VERB новый_ADJF мифический_ADJF долг_NOUN вновь_ADVB бомбардировать_INFN ультиматум_NOUN,1,0.0007982965,0.0,0.012059619,0.0,0.0,0.0,0.09846269,0.0,0.0,0.0005422242,0.0,0.0040828306,0.0,0.111172944,0.0,0.0022227424,0.0,0.0,0.0,0.0,0.0,0.0,0.00066697964,0.0,0.0,0.016140413,0.745025,0.0,0.0013471454,0.0074791033
42,начать_VERB регулярно_ADVB бомбардировать_INFN предложение_NOUN скачать_INFN новый_ADJF микс_NOUN оценить_INFN новый_ADJF проект_NOUN регулярно_ADVB+бомбардировать_INFN регулярно_ADVB+бомбардировать_INFN регулярно_ADVB+бомбардировать_INFN,1,0.0,0.0,0.018253373,0.0,0.00060905435,0.0,0.00053114415,0.02826107,0.0,0.0,0.007135699,0.0017417105,0.0,0.03653307,0.0,0.0,0.0,0.0,0.0,0.11048058,0.0,0.0,0.55918103,0.0,0.0,0.0,0.0,0.0,0.23727335,0.0
43,неожиданно_ADVB влюбиться_VERB 19_NUMR летний_ADJF баронесса_NOUN александр_NOUN бистр_NOUN четыре_NUMR месяц_NOUN бомбардировать_INFN любовный_ADJF письмо_NOUN 20_NUMR 30_NUMR страница_NOUN день_NOUN описывать_VERB весь_ADJF свой_ADJF достоинство_NOUN недостаток_NOUN 20_NUMR+30_NUMR 20_NUMR+30_NUMR 20_NUMR+30_NUMR,1,0.0,8.332966e-05,0.10769537,0.0,0.0129743805,0.0,0.014789296,0.0,0.0,0.0027589044,0.0,0.08218402,0.0,2.8924836e-05,0.0,0.002339312,0.0,0.124139704,0.0,0.0,0.03336841,0.0,0.08065341,0.0,0.0,0.163251,0.37573397,0.0,0.0,0.0
44,увы_INTJ хотя_CONJ энтузиаст_NOUN бомбардировать_INFN свой_ADJF отчёт_NOUN предложение_NOUN минавиапром_NOUN ссср_NOUN нии_NOUN ввс_NOUN военно-воздушный_ADJF академия_NOUN имя_NOUN жуковский_ADJF кгб_NOUN ссср_NOUN отклик_NOUN находить_VERB,1,0.0,0.0,0.008661044,0.0,0.00027704096,0.0,0.09117467,0.016962737,0.2298111,0.0,0.0,0.010233887,0.0,0.054791134,0.0,0.0,0.0,0.00012741645,0.0,0.018943712,0.0,0.28242877,0.035357837,0.0,0.0,0.0,0.19622146,0.05500921,0.0,0.0
45,стать_VERB замкнутый_ADJF бомбардировать_INFN учёный_NOUN заведение_NOUN подробный_ADJF отчёт_NOUN весь_ADJF свой_ADJF изыскание_NOUN,1,0.0,0.0,0.0033398387,0.0,0.026651362,0.0,0.0,0.03809464,0.0,0.0,0.0,0.09565531,0.010583264,0.19145767,0.0,0.0,0.0,0.0004501128,0.0,0.4974207,0.0,0.13634709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,ленин_NOUN бомбардировать_INFN украина_NOUN телеграмма_NOUN какой-то_ADJF 50_NUMR миллион_NOUN пудовый_ADJS хлеб_NOUN околеть_VERB весь_ADJF,1,0.17489617,0.0,0.0,0.0,0.0,0.0,0.18306771,0.17073278,0.06396521,0.0,0.0,0.0,0.0,0.00536656,0.16460401,0.03845624,0.13822074,0.0,0.0,0.0,0.0,0.0,6.538344e-05,0.0,0.0,0.04895645,0.011668683,0.0,0.0,0.0
