,sents,targets,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39
10,бомбардировать_INFN сообщение_NOUN сми_NOUN врач_NOUN последний_ADJF новомодный_ADJF диета_NOUN говорящий_ADJF пища_NOUN должный_ADJS считать_INFN привлекательный_ADJF,1,0.0,0.0,0.032184687,0.0,1.8700357e-05,0.0,9.680673e-05,0.0,0.0,0.0,0.07488601,0.0,0.0,0.0,0.0,0.0,0.28375104,0.0,0.0,0.06389035,0.0,0.0,0.0019788314,0.0,0.0,0.0,0.05355833,0.0,0.0,0.0,0.011337613,0.0,0.0,0.060871817,0.0,0.0,0.0,0.0076810922,0.40974468,0.0
11,буквально_ADVB бомбардировать_INFN служба_NOUN 911_NUMR свой_ADJF нелепый_ADJF звонок_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16109027,0.0,0.0,0.0,0.0,0.0,0.14090323,0.0,0.0,0.0,0.0,0.54243606,0.0,0.0,0.12129002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034280475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,председатель_NOUN фрс_NOUN иллюзионист_NOUN бен_NOUN бернанка_NOUN регулярно_ADVB бомбардировать_INFN американский_ADJF рынок_NOUN тонна_NOUN долларовый_ADJF наличность_NOUN пытаться_GRND самый_ADJF создать_INFN временной_ADJF ощущение_NOUN рост_NOUN экономика_NOUN регулярно_ADVB+бомбардировать_INFN регулярно_ADVB+бомбардировать_INFN регулярно_ADVB+бомбардировать_INFN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.416922e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32842022,0.0,0.0,0.021750364,0.0,0.0,0.0,0.0,0.0,0.062215384,0.06256784,0.0,0.4405048,0.0,0.0,0.0,0.0,0.06017519,0.022358049,0.001999673,0.0
13,объём_NOUN дневный_ADJF порция_NOUN письмо_NOUN бомбардировать_INFN почтовый_ADJF ящик_NOUN пользователь_NOUN интернет_NOUN начинать_VERB превышать_INFN весь_ADJF разумный_ADJF рамка_NOUN,1,0.0006526509,0.0,0.013024332,0.0,0.0,0.00010726418,0.0,0.0,0.0,0.0,0.0044851964,0.0,0.0,0.0,0.081846155,0.0,0.16245504,0.0,0.0,0.19993246,0.0,0.0,0.01301072,0.0,0.0,0.0,0.0017515806,0.0,0.0,0.0,0.0,0.06219883,0.0,0.0,0.0,0.0,0.0,0.0,0.4553021,0.0052336934
14,бомбардировать_INFN газета_NOUN письмо_NOUN наравне_ADVB откровенный_ADJF псих_NOUN хотя_CONJ правда_NOUN говорить_GRND особенно_ADVB отличаться_VERB,1,0.0,0.0,0.40944308,0.0,0.0,4.8912167e-05,0.0016506361,0.0,0.0,0.0,0.0076576197,0.0,0.0,0.0,0.0,0.0,0.0059280884,0.0,0.0,0.29596385,0.0,0.071366936,0.013244767,0.0,0.0,0.0,0.17468941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020006655,0.0,0.0,0.0
15,часы_NOUN день_NOUN начать_VERB бомбардировать_INFN телефон_NOUN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0094726905,0.0,0.0,0.00060977694,0.0,0.0,0.0,0.0,0.22033577,0.079555914,0.0,0.0,0.0,0.0,0.0,0.0,0.6354111,0.0,0.0,0.0,0.054614738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,итог_NOUN правый_ADJS весь_ADJF крайний_ADJF оставаться_VERB обороноспособность_NOUN страна_NOUN офицер_NOUN обложиться_GRND юридический_ADJF литература_NOUN начинать_VERB бомбардировать_INFN суд_NOUN иск_NOUN отбывать_GRND служба_NOUN номер_NOUN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN,1,0.0,0.0,0.15921369,0.0,0.0,0.0,0.0,0.0,0.031966366,0.0021365518,0.0,0.0,0.08064901,0.0009792186,0.0,0.121863835,0.0,0.0,0.0,0.080249965,0.0,0.104038484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014870043,0.0,0.0,0.0,0.0,0.4038353,0.0,0.00019750425
17,управление_NOUN мышление_NOUN мочь_VERB мощный_ADJF наступательный_ADJF оружие_NOUN намного_ADVB простой_ADJF принуждение_NOUN враг_NOUN сдача_NOUN военный_ADJF бомбёжка_NOUN физический_ADJF действие_NOUN радиопередатчик_NOUN нацелить_PRTF встроить_PRTF мозг_NOUN человек_NOUN приёмник_NOUN мочь_VERB бомбардировать_INFN жертва_NOUN приказ_NOUN сдача_NOUN,1,0.0,0.0,0.0,0.0,0.00011137462,0.0,4.9308915e-06,0.0,0.00057129347,0.0,0.0,0.0,0.0,0.0,0.0,0.33841795,0.0,0.0,0.0,0.085015304,0.0,0.0,0.1103479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017757315,0.0017662478,0.0,0.0,0.0,0.0,0.0,0.048521698,0.26477033,0.15029535
18,прохождение_NOUN город_NOUN бомбардировать_INFN песня_NOUN изумительный_ADJF мир_NOUN луис_NOUN армстронг_NOUN стиль_NOUN техный_ADJS,1,0.11066001,0.0,0.00022966588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048357442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15819232,0.0,0.0,0.0,0.2500777,0.0,0.35464442,0.07783844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,дать_PRTF ситуация_NOUN буквально_ADVB бомбардировать_INFN жалоба_NOUN обращение_NOUN различный_ADJF инстанция_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,0.0,0.0,0.009655745,0.0,0.0,0.0,0.052117746,0.0,0.0,0.0,0.0,0.0,0.0,0.00023928833,0.0,0.0,0.0013971858,0.0,0.0,0.014464493,0.0,0.0,0.01262027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48275545,0.42674983,0.0
20,бедный_ADJF прасковья_NOUN иван_NOUN беспокоить_VERB из-за_PREP презренный_ADJF письмо_NOUN выразиться_VERB бомбардировать_INFN жалеть_VERB послужить_VERB невинный_ADJF причина_NOUN,1,0.0,0.0,3.7028996e-05,0.0,0.0,0.0,0.003645048,0.0,0.0,0.0,0.0,0.0,0.0,0.07207951,0.0,0.0,0.0,0.050885435,0.0,0.21604587,0.01931877,0.09615036,0.016951906,0.0,0.0,0.055609223,0.37328863,0.0,0.0,0.0,0.0,0.0,0.0,0.095929265,0.0,0.0,0.0,5.903087e-05,0.0,0.0
21,лиза_NOUN пытаться_VERB вновь_ADVB бомбардировать_INFN вероломный_ADJF возлюбить_PRTF разговор_NOUN душа_NOUN угроза_NOUN,1,0.0,0.0,0.14747469,0.0057850927,0.0,0.0,0.0,0.0,0.0,0.0,0.0058069876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82473516,0.0,0.0,0.0,0.0,0.0,0.0,0.016198026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,слово_NOUN обама_NOUN медиа_NOUN индустрия_NOUN круглосуточно_ADVB семь_NUMR день_NOUN неделя_NOUN бомбардировать_INFN человек_NOUN дать_PRTF самый_ADJF различный_ADJF род_NOUN причём_CONJ многие_NPRO являться_VERB достоверный_ADJF,1,0.0,0.0,0.27296755,0.0,0.0,0.0005539435,0.0072356407,0.0,0.0,0.0,0.044295207,0.0,0.0,0.0,0.0039275945,0.0,0.103259504,0.0,0.0,8.136578e-05,0.0,0.0010773423,0.027012708,0.013043698,0.022039516,0.0,0.028862767,0.03276415,0.0,0.0,0.0,0.054791726,0.0,0.0,0.0,0.0,0.0,0.13011782,0.25796944,0.0
23,карл_NOUN свой_ADJF выбор_NOUN остановить_VERB немой_ADJS находиться_GRND пост_NOUN посол_NOUN бухарест_NOUN граф_NOUN бомбардировать_INFN свой_ADJF венский_ADJF начальство_NOUN длинный_ADJF письмо_NOUN меморандум_NOUN настаивать_GRND необходимость_NOUN приступить_INFN мирный_ADJF переговоры_NOUN антанта_NOUN совпадать_VERB намерение_NOUN план_NOUN молодой_ADJF монарх_NOUN,1,0.0,0.0,0.0042305496,0.0,0.0108120665,0.029068539,0.014526585,0.0,0.0,0.0,0.0,0.0,0.0,0.49745288,0.0,0.059746448,0.016966905,0.0,0.0,0.015542241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046365146,0.0,0.0,0.078342654,0.0,0.0,0.0,0.0,0.2727871,6.038027e-05,0.0
24,постоянно_ADVB бомбардировать_INFN призыв_NOUN помощь_NOUN поэтому_ADVB реальный_ADJF участие_NOUN что-либо_NPRO нужный_ADJS веский_ADJF причина_NOUN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004059991,0.0,0.0,0.0,0.0,0.0009404328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37686744,0.0,0.0,0.30194333,0.0,0.0,0.0,0.0053721946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2860247,0.024791885,0.0
25,потребитель_NOUN поднимать_VERB голова_NOUN начинать_VERB бомбардировать_INFN бренд_NOUN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14829433,0.0,0.0,0.44539383,0.0,0.0,0.00011192871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4061999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,банк_NOUN продолжать_VERB бомбардировать_INFN повестка_NOUN суд_NOUN предложение_NOUN войти_INFN трудный_ADJF положение_NOUN реструктурировать_INFN кредит_NOUN продолжать_VERB+бомбардировать_INFN продолжать_VERB+бомбардировать_INFN продолжать_VERB+бомбардировать_INFN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.836509e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17209847,0.0,0.0,0.0,0.0,0.2613235,0.0,0.0,0.0,0.0031980702,0.0,0.56330156,0.0,0.0
27,алиса_NOUN подписываться_VERB стоить_VERB её_ADJF бомбардировать_INFN повод_NOUN забота_NOUN выше_ADVB крыша_NOUN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011209169,0.0,0.0,0.0,0.0,0.00057727034,0.24224281,0.0,0.0,0.0,0.0,0.0,0.002869468,0.0,0.0,0.2867314,0.0,0.0,0.0,0.17224056,0.0,0.0,0.12283241,0.0,0.0,0.0,0.0,0.0,0.15993686,0.0,0.0,0.0013601143,0.0
28,течение_NOUN день_NOUN бомбардировать_INFN телевизионный_ADJF коммерческий_ADJF реклама_NOUN рекламный_ADJF объявление_NOUN радио_NOUN реклама_NOUN газета_NOUN реклама_NOUN стенка_NOUN автобус_NOUN щит_NOUN объявление_NOUN течение_NOUN+день_NOUN течение_NOUN+день_NOUN течение_NOUN+день_NOUN,1,0.0,0.0,0.0,0.0,0.0,0.020387324,0.0,0.0,0.0,0.0,0.2043868,0.0,0.115380295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11457136,7.5100725e-05,0.0,0.0,0.0,0.0,0.067125246,0.0,0.0,0.0,0.004351612,0.0,0.0,0.0,0.028916385,0.00036324663,0.0005971671,0.44384542,0.0
29,виновница_NOUN переполох_NOUN однако_CONJ спешить_VERB почивать_INFN лавр_NOUN продолжать_GRND бомбардировать_INFN рынок_NOUN новинка_NOUN автофокусный_ADJF зеркалка_NOUN предел_NOUN сша_NOUN известный_ADJF база_NOUN свежеиспечённый_ADJF байонет_NOUN,1,0.0075344336,0.10257716,0.020697758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043982395,0.0,0.0,0.0,0.0,0.00082573853,0.0,0.0011360183,0.0,0.23872314,0.0,1.7231756e-05,0.13598724,0.004314632,0.0,0.0,0.0,0.0,0.0,0.004944274,0.0,0.48230016,0.0,0.0,0.0005023993,0.0,0.0,0.0,0.0,0.0
30,время_NOUN панегирик_NOUN адрес_NOUN ретиф_NOUN де_PRCL бретонна_NOUN начать_VERB бомбардировать_INFN данте_NOUN дзакканьинь_NOUN учёный_ADJF запойный_ADJF читатель_NOUN кайроу_NOUN штат_NOUN ньюйорк_NOUN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,0.0,0.0,0.5292569,0.0,0.0,0.0,0.0,6.5501954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003167539,0.0515256,0.0,0.012970479,0.0,0.11462571,0.19224925,0.06604682,0.031580172,0.0013627823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,объяснить_VERB польский_ADJF правительство_NOUN заключить_VERB договор_NOUN 41_NUMR начать_VERB бомбардировать_INFN ссср_NOUN просьба_NOUN вернуть_INFN поляков_NOUN имя_NOUN 43_NUMR год_NOUN нагло_ADVB врать_VERB начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,0.0,0.0,0.0,0.00023051977,0.0,0.0,0.0007825796,0.0,0.0,0.0004747933,0.0,0.0,0.0,0.24542488,0.0,0.0,0.0,0.0,0.0,0.0,0.1223011,0.0,0.012504781,0.0,0.0066326256,0.0,0.27219418,0.0,0.0,0.0044843303,0.0,0.0,0.018115478,0.1093599,0.0,0.0,0.07894384,0.12855099,0.0,0.0
32,ещё_PRCL напоминать_VERB обстоятельство_NOUN начаться_VERB запрет_NOUN оружие_NOUN революция_NOUN 37_NUMR год_NOUN мужик_NOUN планомерно_ADVB настойчиво_ADVB бомбардировать_INFN мысль_NOUN оружие_NOUN доверять_VERB раб_NOUN,1,0.0,0.0,0.015405014,0.0019904769,0.0,0.0,0.17698593,0.0013029318,0.0,0.0,0.0,0.0,4.6840218e-05,0.20413135,0.0,0.04666864,0.0017509629,0.0,0.0,0.0031554133,0.055258065,0.0,0.21295188,0.0,0.0016582046,0.0,0.1795977,0.0,0.0,0.0,0.0,0.010733512,0.0,0.0,0.0,0.0,0.0,0.088363126,0.0,0.0
33,касаться_VERB влияние_NOUN пробиотик_NOUN здоровье_NOUN потребитель_NOUN вовсю_ADVB бомбардировать_INFN заявление_NOUN польза_NOUN сброженный_ADJF продукт_NOUN являться_VERB источник_NOUN живой_NOUN культура_NOUN весь_ADJF знать_VERB йогурт_NOUN,1,0.0,0.0,0.3806433,0.0,0.0,0.037021007,0.000110235305,0.0,0.0,0.0,0.0,0.0,0.0,0.00011451454,0.0,0.0,0.10773295,0.0,0.0,0.046493668,0.0,0.004540421,0.0004979875,0.0,0.0,0.0,0.00023484357,0.0,0.0,0.08994587,0.02900887,0.15324746,0.0,0.0,0.0,0.0,0.0,0.1459399,0.004077154,0.00039169277
34,бомбардировать_INFN прошение_NOUN уважаемый_ADJF человек_NOUN космонавт_NOUN особенно_ADVB видеть_VERB иллюминатор_NOUN летать_PRTF тарелка_NOUN писать_VERB свой_ADJF буквоедство_NOUN мешать_VERB распространение_NOUN передовой_ADJF научный_ADJF идея_NOUN,1,0.0,0.036697358,0.05858193,0.0,0.0,0.00427508,0.001236068,0.0,0.0,0.0,0.0,0.0,0.0,0.07066501,0.00012572682,0.054114025,0.08053026,0.0036011166,0.0,0.28210482,0.0,0.0,0.21835263,0.0,0.0,5.0173785e-05,0.023214024,0.0,0.0,0.0,0.093046874,0.0,0.0,0.0,0.0,0.0,0.0,1.4922923e-05,0.0,0.07338996
35,человек_NOUN постоянно_ADVB бомбардировать_INFN противоречивый_ADJF информация_NOUN передаваемый_ADJF разный_ADJF орган_NOUN чувство_NOUN счастие_NOUN хороший_ADJF примиритель_NOUN арбитр_NOUN ум_NOUN синтезировать_VERB интегрировать_VERB сглаживать_VERB конфликт_NOUN свой_ADJF агент_NOUN постоянно_ADVB докладывать_VERB штаб_NOUN свой_ADJF различный_ADJF аванпост_NOUN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN постоянно_ADVB+бомбардировать_INFN,1,0.0,0.0,0.009152722,0.0,0.061821267,0.0,0.000374596,0.0,6.20956e-05,0.04584832,0.013375615,0.0,0.0,0.0,0.0,0.058809098,0.0,0.0,0.0,0.4020983,0.0,0.0,0.0,0.0,0.0,0.0,0.017505217,0.0,0.0,0.0,0.0,0.0,0.10529131,0.0,0.0,0.0,0.0,0.11076333,0.17489816,0.0
36,последующий_ADJF пятнадцать_NUMR минута_NOUN карл_NOUN буквально_ADVB бомбардировать_INFN подобный_ADJF детский_ADJF задача_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,0.0,0.0,0.0070533035,0.0,0.0,0.0,0.0012824202,0.01719928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8073266e-05,0.0,0.11218607,0.50919414,0.0,0.0,0.0,0.0012327484,0.0,0.0,0.0005615365,0.0,0.0,0.17119126,0.0,0.0,0.0008024215,0.0,0.0,0.17919873,0.0
37,сайт_NOUN откликаться_VERB потребность_NOUN должное_NOUN образ_NOUN реагировать_INFN многочисленный_ADJF поток_NOUN символически_ADVB насыщенный_ADJF сообщение_NOUN день_NOUN день_NOUN бомбардировать_INFN сознание_NOUN огромный_ADJF множество_NOUN человек_NOUN посредством_PREP телевидение_NOUN радио_NOUN пресса_NOUN кино_NOUN видеоигра_NOUN средство_NOUN электронный_ADJF культура_NOUN среди_PREP возрастать_PRTF роль_NOUN играть_VERB интернет_NOUN учитывать_GRND роль_NOUN проблематика_NOUN экология_NOUN масса_NOUN медиа_NOUN мультимедийный_ADJF грамотность_NOUN также_CONJ музыкальный_ADJF структурирование_NOUN сознание_NOUN современный_ADJF человек_NOUN житель_NOUN глобальный_ADJF деревня_NOUN современный_ADJF+человек_NOUN современный_ADJF+человек_NOUN современный_ADJF+человек_NOUN,1,0.0,0.0,0.03469511,0.042864695,0.0031750863,0.075872615,0.00018094668,0.0,0.0,0.0,0.12701693,0.0,0.025790274,0.0,0.05382162,0.0,0.00062295096,0.0,0.0,0.099858396,0.0,0.012826119,0.06469954,0.0,0.0,0.0,0.0,0.0,0.0,0.05262745,0.00061237754,0.020745184,0.0,0.0,0.0026270817,0.0,0.0,0.0,0.36422622,0.01773737
38,хабаровский_ADJF межрайонный_ADJF природоохранный_ADJF прокуратура_NOUN ростехнадзор_NOUN бомбардировать_INFN местный_ADJF суд_NOUN исковый_ADJF заявление_NOUN требование_NOUN обязать_INFN руководство_NOUN водоканал_NOUN объяснить_INFN почему_ADVB орг_NOUN низации_NOUN чей_ADJF ведение_NOUN находиться_VERB канализационный_ADJF сеть_NOUN право_NOUN пользование_NOUN водный_ADJF объект_NOUN,1,0.018451631,0.0,0.0,0.0,0.053688798,0.0024907074,0.0,0.02324043,0.0,0.0,0.0,0.0,0.04103694,0.0,0.0,0.0,0.0,0.0,0.06535279,0.043265447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036740143,0.0,0.0,0.04192445,0.08510899,0.0,0.43823767,0.06850908,0.11832573
39,изображение_NOUN бомбардировать_INFN телевидение_NOUN кино_NOUN персональный_ADJF компьютер_NOUN наглядно_ADVB демонстрировать_VERB мощь_NOUN современный_ADJF 3_NUMR графика_NOUN,1,0.0,0.10314843,0.005309008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17590725,0.0,0.015568026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2023235,0.0012878528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49645588,0.0
