,index,class,sentid,lemmas,pos,concr,abstr
10,10,1,бомбардировать#11,"['сообщение', 'сми', 'врач', 'последний', 'новомодный', 'диета', 'говорить', 'пища', 'должный', 'считать', 'привлекательный']","['SPRO', 'V ipf praes indic', 'S inan nom', 'ИЗ', 'S inan loc', ',', 'ОТ', 'S anim gen', 'О', 'A - loc pl plen - -', 'A - loc pl plen - -', 'S inan loc', ',', 'PARTCP', 'SPRO', ',', 'A - acc sg plen f -', 'S inan acc', 'SPRO', 'A - - pl brev - -', 'V ipf - inf', 'A - ins sg plen f -', '.']",0.198558136487111,0.21405873274773726
11,11,1,бомбардировать#12,"['служба', 'нелепый', 'звонок', 'знак-кавычки', 'буквально']","['SPRO', 'ADV', 'V ipf praet indic', 'S inan acc', '«', 'NUM', '»', 'A - ins pl plen - -', 'A - ins pl plen - -', 'S inan ins', '.']",0.1876063721252313,0.22892960475874755
12,12,1,бомбардировать#13,"['председатель', 'фрс', 'иллюзионист', 'бен', 'бернанка', 'регулярно', 'американский', 'рынок', 'тонна', 'долларовый', 'наличность', 'пытаться', 'самый', 'создать', 'временный', 'ощущение', 'роста', 'экономика', 'знак-кавычки']","['S anim nom', 'S inan nonflex', ',', '«', 'S anim nom', '»', 'S anim gen', 'S inan loc', ',', 'ADV', 'V ipf praes indic', 'A - nom sg plen m -', 'S inan nom', 'S inan ins', 'A - gen sg plen f -', 'S inan gen', ',', 'V ipf praes ger', 'S - ins', 'A - ins sg plen n -', ',', 'V pf - inf', 'A - nom sg plen n -', 'S inan nom', 'S inan gen', 'S inan gen', '.']",0.1869766421632924,0.2219918019303056
13,13,1,бомбардировать#14,"['объем', 'дневной', 'порция', 'письмо', 'почтовый', 'ящик', 'пользователь', 'интернет', 'начинать', 'превышать', 'разумный', 'рамка']","['S inan nom', 'A - gen pl plen - -', 'S inan gen', 'S inan gen', ',', 'PARTCP', 'A - acc pl plen - inan', 'S inan acc', 'S anim gen', 'S inan gen', ',', 'V ipf praes indic', 'V ipf - inf', 'A - acc pl plen - inan', 'A - acc pl plen - inan', 'S inan acc', '.']",0.22700003726405446,0.19806236305950423
14,14,1,бомбардировать#15,"['газета', 'письмо', 'откровенный', 'псих', 'правда', 'говорить', 'особенно', 'отличаться']","['PART', 'SPRO', 'PART', 'V ipf praes indic', 'S inan nom', 'S inan ins', 'PR', 'A - ins pl plen - -', 'S anim ins', ',', 'CONJ', ',', 'ПО', 'S inan dat', 'V ipf praes ger', ',', 'PART', 'ADV', 'ОТ', 'SPRO', 'V ipf praes indic', '.']",0.19625357081015762,0.2505089120559951
15,15,1,бомбардировать#16,"['час', 'день', 'начать', 'телефон', 'знак-кавычки']","['ПОСЛЕ', 'S - gen', ',', 'CONJ', 'С', 'NUM', 'S inan gen', 'S inan gen', 'SPRO', 'V pf praet indic', 'V ipf - inf', 'ПО', 'S inan dat', ':', '«', 'PART', 'ADV', '?']",0.23934016838377908,0.1658897812726347
16,16,1,бомбардировать#17,"['итог', 'правый', 'крайний', 'оставаться', 'обороноспособность', 'страна', 'офицер', 'обложиться', 'юридический', 'литература', 'начинать', 'суд', 'иск', 'отбывать', 'служба', 'номер']","['В', 'S inan loc', 'A - - pl brev - -', 'ADV', ',', 'CONJ', 'A - dat sg plen f -', 'V ipf praes indic', 'S inan acc', 'S inan nom', ',', 'CONJ', 'S anim nom', ',', 'V pf praet ger', 'A - ins sg plen f -', 'S inan ins', ',', 'V ipf praes indic', 'V ipf - inf', 'S inan nom', 'S inan ins', ',', 'V ipf praes ger', 'НА', 'S inan loc', 'S inan acc', '.']",0.18140862512142378,0.22281361753440015
17,17,1,бомбардировать#18,"['радиопередатчик', 'нацелить', 'встроенный', 'мозг', 'человек', 'приемник', 'жертва', 'приказ', 'сдача', 'знак-кавычки', 'знак-кавычки', 'знак-кавычки']","['S inan acc', ',', 'PARTCP', 'НА', '«', 'A - nom pl plen - -', '»', 'В', 'S inan acc', 'S anim gen', '«', 'S inan acc', '»', ',', 'V ipf praes indic', 'V ipf - inf', 'S anim nom', 'S inan ins', 'О', 'S inan loc', '»', '.']",0.2020868837691115,0.2488657692906527
18,18,1,бомбардировать#19,"['прохождение', 'город', 'песня', 'изумительный', 'мир', 'луис', 'армстронг', 'стиль', 'техно', 'знак-кавычки']","['ПРИ', 'S inan loc', 'S inan gen', 'SPRO', 'V ipf praet indic', 'S inan ins', '«', 'A - nom sg plen m -', 'A - nom sg plen m -', 'S inan nom', '»', 'S anim gen', 'S anim gen', 'В', 'S inan loc', 'S inan nonflex', '.']",0.22314252136315116,0.2409899788238478
19,19,1,бомбардировать#20,"['данный', 'ситуация', 'жалоба', 'обращение', 'различный', 'инстанция', 'буквально']","['В', 'A - loc sg plen f -', 'S inan loc', 'SPRO', 'ADV', 'V ipf praet indic', 'S inan ins', 'CONJ', 'S inan ins', 'A - acc pl plen - inan', 'S inan acc', '.']",0.1467662901989132,0.2474202328845975
20,20,1,бомбардировать#21,"['бедный', 'прасковья', 'ивановна', 'беспокоить', 'презренный', 'письмо', 'выразиться', 'первый', 'жалеть', 'послужить', 'невинный', 'причина', 'знак-кавычки']","['CONJ', 'CONJ', 'SPRO', ',', 'A - nom sg plen f -', 'A - nom sg plen f -', 'S anim nom', 'S anim nom', ',', 'V ipf praet indic', 'ИЗ-ЗА', 'SPRO', 'A - ins pl plen - -', 'PART', 'A - ins pl plen - -', 'S inan ins', 'CONJ', ',', 'ADV', 'SPRO', 'V pf praet indic', ',', '""', 'V ipf praet indic', '""', ',', 'CONJ', ',', 'ADV', ',', 'A - nom sg plen f -', 'V ipf praes indic', ',', 'CONJ', 'V pf praet indic', 'A - ins sg plen f -', 'S inan ins', '.']",0.19671299006967702,0.2458989784620235
21,21,1,бомбардировать#22,"['лиза', 'пытаться', 'вновь', 'вероломный', 'возлюбленный', 'разговор', 'душа', 'угроза', 'знак-кавычки']","['S anim nom', 'V ipf praet indic', 'ADV', '«', 'V ipf - inf', '»', 'A - gen sg plen n -', 'A - acc sg plen m anim', '-', 'CONJ', 'S inan ins', 'ПО', 'S inan dat', ',', 'CONJ', 'S inan ins', '.']",0.18504140519785728,0.256240220249462
22,22,1,бомбардировать#23,"['слово', 'обама', 'медиа', 'индустрия', 'круглосуточно', 'день', 'неделя', 'человек', 'данные', 'самый', 'различный', 'род', 'многий', 'являться', 'достоверный', 'знак-кавычки']","['ПО', 'S inan dat', 'S anim gen', ',', 'ADV', 'S inan nonflex', '-', 'S inan nom', 'ADV', 'CONJ', 'NUM', 'S inan gen', 'В', 'S inan acc', '""', 'V ipf praes indic', '""', 'S anim gen', 'S inan ins', 'A - gen sg plen m -', 'A - gen sg plen m -', 'S inan gen', ',', 'CONJ', ',', 'A - nom pl plen - -', 'ИЗ', 'SPRO', 'PART', 'V ipf praes indic', 'A - ins pl plen - -', '.']",0.16496875864758268,0.20608367378601872
23,23,1,бомбардировать#24,"['карл', 'выбор', 'остановить', 'немой', 'находиться', 'пост', 'посол', 'бухарест', 'граф', 'венский', 'начальство', 'длинный', 'письмо', 'меморандум', 'настаивать', 'необходимость', 'приступить', 'мирный', 'переговоры', 'антанта', 'совпадать', 'намерение', 'план', 'молодой', 'монарх']","['S anim nom', 'A - nom sg plen m -', 'S inan nom', 'V pf praet indic', 'НА', 'A - dat sg plen n -', 'ADV', ',', 'CONJ', ',', 'V ipf praes ger', 'НА', 'S inan loc2', 'S anim gen', 'В', 'S inan loc', ',', 'S anim nom', 'V ipf praet indic', 'A - nom sg plen n -', 'A - nom sg plen n -', 'S inan nom', 'A - ins pl plen - -', 'S inan ins', '-', 'S inan ins', ',', 'V ipf praes ger', 'НА', 'S inan loc', 'V pf - inf', 'К', 'A - dat pl plen - -', 'S inan dat', 'С', 'S anim ins', ',', 'CONJ', 'V ipf praet indic', 'С', 'S inan ins', 'CONJ', 'S inan ins', 'A - gen sg plen m -', 'S anim gen', '.']",0.1794552960001831,0.2274985740708354
24,24,1,бомбардировать#25,"['постоянно', 'призыв', 'помощь', 'реальный', 'участие', 'нужный', 'веский', 'причина']","['SPRO', 'ADV', 'V ipf praes indic', 'S inan nom', 'К', 'S inan loc', ',', 'ADV', 'ДЛЯ', 'A - gen sg plen n -', 'S inan gen', 'В', 'S - ins', 'A - - sg brev f -', 'A - nom sg plen f -', 'S inan nom', '.']",0.15857563745508382,0.2101883013512614
25,25,1,бомбардировать#26,"['потребитель', 'поднимать', 'голова', 'начинать', 'бренд']","['CONJ', 'S anim nom', 'V ipf praes indic', 'S inan acc', ',', 'SPRO', 'V ipf praes indic', 'V ipf - inf', 'S inan ins', '.']",0.2022833611694514,0.20685220523761863
26,26,1,бомбардировать#27,"['банк', 'продолжать', 'повестка', 'суд', 'предложение', 'войти', 'трудный', 'положение', 'реструктурировать', 'кредит', 'знак-кавычки']","['CONJ', 'S inan nom', 'V ipf praet indic', 'V ipf - inf', 'SPRO', 'CONJ', 'S inan ins', 'В', 'S inan acc', ',', 'CONJ', 'S inan ins', '«', 'V pf - inf', 'В', 'A - acc sg plen n -', 'A - nom sg plen n -', 'S inan nom', 'CONJ', 'V pf - inf', 'S inan acc', '»', '.']",0.1665164229037427,0.2161996013469856
27,27,1,бомбардировать#28,"['алиса', 'подписываться', 'стоить', 'повод', 'забота', 'выше', 'крыша']","['S anim nom', 'НА', 'S inan acc', 'PART', 'V ipf praet indic', '-', 'PART', 'V ipf praes indic', 'SPRO', 'V ipf - inf', 'ПО', 'A - dat sg plen m -', 'S inan dat', ',', 'У', 'SPRO', 'ADV', 'CONJ', 'ADV', 'S inan gen', 'ADV', 'S inan gen', '.']",0.18814683840152102,0.2172488469118468
28,28,1,бомбардировать#29,"['день', 'телевизионный', 'коммерческий', 'реклама', 'рекламный', 'объявление', 'радио', 'газета', 'стенка', 'автобус', 'щит']","['PR', 'A - acc sg plen m anim', 'S inan gen', 'SPRO', 'V ipf praes indic', 'A - ins sg plen f -', 'A - ins sg plen f -', 'S inan ins', ',', 'A - ins pl plen - -', 'S inan ins', 'ПО', 'S inan nonflex', ',', 'S inan ins', 'В', 'S inan loc', ',', 'S inan ins', 'НА', 'S inan loc', 'S inan gen', 'CONJ', 'НА', 'S inan loc', 'ДЛЯ', 'S inan gen', '.']",0.23822412258984269,0.18723973647613096
29,29,1,бомбардировать#30,"['виновница', 'переполох', 'спешить', 'почивать', 'лавр', 'продолжать', 'рынок', 'новинка', 'автофокусный', 'зеркалка', 'предел', 'сша', 'известный', 'база', 'свежеиспеченный', 'байонет', 'знак-кавычки', 'знак-кавычки', 'знак-кавычки']","['«', 'S inan nom', '»', 'S inan gen', ',', 'CONJ', ',', 'PART', 'V ipf praet indic', 'V ipf - inf', 'НА', 'S inan loc', ',', 'V ipf praes ger', 'V ipf - inf', 'S inan nom', 'S inan ins', '–', 'A - gen sg plen m -', '«', 'S inan ins', '»', 'NONLEX', '(', 'ЗА', 'S inan ins', 'S inan gen', 'A - ins pl plen - -', 'CONJ', 'NONLEX', 'CONJ', 'NONLEX', ')', 'НА', 'S inan loc', 'A - gen sg plen m -', 'S inan gen', '«', 'NONLEX', 'NONLEX', '»', '.']",0.22229388993273042,0.21805656651129096
30,30,1,бомбардировать#31,"['время', 'панегирик', 'адрес', 'ретиф', 'бретонный', 'начало', 'данте', 'дзакканьинь', 'ученый', 'запойный', 'читатель', 'кайроу', 'штат', 'ньюйорк']","['A - ins sg plen m -', 'S inan ins', 'S inan ins', 'В', 'S inan acc', 'S anim acc', 'PART', 'NONLEX', 'A - - sg brev f -', 'SPRO', 'S inan gen', 'V ipf - inf', 'S anim nonflex', 'S anim nom', ',', 'S anim nom', 'CONJ', 'A - nom sg plen m -', 'S anim nom', 'ИЗ', 'S inan nonflex', ',', 'S inan nom', 'S inan nom', '.']",0.20094458849413688,0.2229268591908021
31,31,1,бомбардировать#32,"['объяснить', 'польский', 'правительство', 'заключить', 'договор', 'начать', 'ссср', 'просьба', 'вернуть', 'поляков', 'год', 'нагло', 'врать']","['CONJ', 'PART', 'ADV', 'V pf fut indic', '-', 'CONJ', 'С', 'A - ins sg plen n -', 'S inan ins', 'V pf praet indic', 'S inan acc', 'В', 'NUM', ',', 'CONJ', 'SPRO', 'V pf praet indic', 'V ipf - inf', 'S inan acc', 'S inan ins', 'V pf - inf', 'A - acc pl plen - anim', 'S anim gen', ',', 'SPRO', 'ДО', 'NUM', 'S inan gen', 'ADV', 'V ipf praet indic', '.']",0.17315099538179346,0.2268809929013103
32,32,1,бомбардировать#33,"['мужик', 'планомерно', 'настойчиво', 'мысль', 'оружие', 'доверять', 'раб']","[')', 'S anim gen', 'ADV', 'ADV', 'CONJ', 'ADV', 'V ipf - inf', 'S inan ins', '-', 'S inan nom', 'PART', 'V ipf praes indic', 'PART', 'S anim dat', '!']",0.2207792614332506,0.24610965118225905
33,33,1,бомбардировать#34,"['касаться', 'влияние', 'пробиотик', 'здоровье', 'потребитель', 'заявление', 'польза', 'сброженный', 'продукт', 'который', 'являться', 'источник', 'живой', 'культура', 'знать', 'йогурт']","['S - nom', 'V ipf praes indic', 'S inan gen', 'S inan gen', 'НА', 'S inan loc', '—', 'S anim gen', 'ADV', 'V ipf praes indic', 'S inan ins', 'О', 'S inan loc', 'A - gen pl plen - -', 'S inan gen', ',', 'A - nom pl plen - -', 'V ipf praes indic', 'S inan ins', 'A - gen pl plen - -', 'S inan gen', '—', 'S - nom', 'V ipf praes indic', 'О', 'S inan ins', '.']",0.21753457582303037,0.2249342483926301
34,34,1,бомбардировать#35,"['прошение', 'уважаемый', 'человек', 'космонавт', 'особенно', 'видеть', 'иллюминатор', 'летать', 'тарелка', 'писать', 'буквоедство', 'мешать', 'распространение', 'передовой', 'научный', 'идея']","['SPRO', 'V ipf praes indic', 'S inan ins', 'A - nom pl plen - -', 'S anim nom', ',', 'CONJ', 'S anim nom', '(', 'ADV', 'A - nom sg plen m -', ',', 'CONJ', 'V ipf praet indic', 'В', 'S inan loc', 'PARTCP', 'S inan gen', ')', ',', 'CONJ', 'V ipf praes indic', ',', 'CONJ', 'SPRO', 'A - ins sg plen m -', 'S inan ins', 'PART', 'V ipf praet indic', 'S inan dat', 'A - gen pl plen - -', 'A - gen pl plen - -', 'S inan gen', '.']",0.20840664219923147,0.2377235202111659
35,35,1,бомбардировать#36,"['человек', 'постоянно', 'противоречивый', 'информация', 'передавать', 'разный', 'орган', 'чувство', 'счастье', 'хороший', 'примиритель', 'арбитр', 'ум', 'который', 'синтезировать', 'интегрировать', 'сглаживать', 'конфликт', 'агент', 'докладывать', 'штаб', 'различный', 'аванпост', 'знак-кавычки', 'знак-кавычки', 'знак-кавычки']","['SPRO', ',', 'S anim acc', ',', 'ADV', 'V ipf praes indic', 'A - nom sg plen f -', 'S inan nom', ',', 'PARTCP', 'A - ins pl plen - -', 'S inan ins', 'S inan gen', ',', 'CONJ', ',', 'К', 'S inan dat', ',', 'У', 'SPRO', 'V ipf praes indic', 'A - nom sg plen m -', '«', 'S anim nom', '»', 'CONJ', '«', 'S anim nom', '»', '—', 'S inan nom', ',', 'A - nom sg plen m -', 'V ipf praes indic', ',', 'V ipf praes indic', 'CONJ', 'V ipf praes indic', 'S inan acc', 'МЕЖДУ', 'A - ins pl plen - -', 'S anim ins', ',', 'A - nom pl plen - -', 'ADV', 'V ipf praes indic', 'В', '«', 'S inan acc', '»', 'СО', 'A - gen pl plen - -', 'A - gen pl plen - -', 'S inan gen', '.']",0.16354828754499212,0.2408879489878826
36,36,1,бомбардировать#37,"['последующий', 'минута', 'карл', 'подобный', 'детский', 'задача', 'буквально']","['В', 'A - acc pl plen - inan', 'NUM', 'S inan gen', 'S anim gen', 'ADV', 'V ipf praet indic', 'A - ins pl plen - -', 'PART', 'A - ins pl plen - -', 'S inan ins', '.']",0.1749841334587401,0.21009198351070352
37,37,1,бомбардировать#38,"['сайт', 'откликаться', 'потребность', 'должный', 'образ', 'реагировать', 'многочисленный', 'поток', 'символически', 'насыщенный', 'сообщение', 'день', 'сознание', 'огромный', 'множество', 'человек', 'телевидение', 'радио', 'пресса', 'кино', 'видеоигр', 'другой', 'средство', 'электронный', 'культура', 'который', 'возрастать', 'роль', 'играть', 'интернет', 'учитывать', 'проблематика', 'экология', 'масса', 'медиа', 'мультимедийный', 'грамотность', 'музыкальный', 'структурирование', 'современный', 'житель', 'глобальный', 'деревня', 'знак-кавычки']","['S inan nom', 'V ipf praes indic', 'НА', 'S inan dat', 'A - ins sg plen m -', 'S inan ins', 'V ipf - inf', 'НА', 'A - acc pl plen - inan', 'S inan acc', 'ADV', 'A - gen pl plen - -', 'S inan gen', ',', 'ИЗО', 'S inan gen', 'В', 'S inan acc', 'PARTCP', 'S inan nom', 'A - gen sg plen n -', 'S inan gen', 'S anim gen', 'ПОСРЕДСТВОМ', 'S inan gen', ',', 'S inan nonflex', ',', 'S inan gen', ',', 'S inan nonflex', ',', 'S inan gen', 'CONJ', 'A - gen pl plen - -', 'S inan gen', 'A - gen sg plen f -', 'S inan gen', ',', 'СРЕДИ', 'A - acc pl plen - anim', 'PARTCP', 'S inan acc', 'V ipf praes indic', 'S inan nom', ',', '-', 'V ipf praes ger', 'ПРИ', 'S - loc', 'S inan acc', 'S inan gen', 'S inan gen', 'S inan gen', '-', 'S inan nonflex', 'CONJ', 'A - gen sg plen f -', 'S inan gen', ',', 'CONJ', 'A - gen sg plen n -', 'S inan acc', 'S inan gen', 'A - gen sg plen m -', 'S anim gen', '-', 'S anim gen', '""', 'A - gen sg plen f -', 'S inan gen', '""', '.']",0.18822123432678606,0.2401473733822593
38,38,1,бомбардировать#39,"['хабаровский', 'межрайонный', 'природоохранный', 'прокуратура', 'ростехнадзор', 'местный', 'суд', 'исковый', 'заявление', 'требование', 'обязать', 'руководство', 'водоканал', 'объяснить', 'орг', 'низация', 'ведение', 'находиться', 'канализационный', 'сеть', 'право', 'пользование', 'водный', 'объект']","['A - nom sg plen f -', 'A - nom sg plen f -', 'A - nom sg plen f -', 'S inan nom', 'CONJ', 'S inan nom', 'V ipf praes indic', 'A - acc sg plen m inan', 'S inan acc', 'A - ins pl plen - -', 'S inan ins', 'С', 'S inan ins', 'V pf - inf', 'S inan acc', 'S inan gen', 'V pf - inf', ',', 'ADV', 'У', 'S inan gen', 'S inan loc', ',', 'В', 'A - nom sg plen m -', 'S inan loc', 'V ipf praes indic', 'A - acc pl plen - inan', 'S inan acc', ',', 'ADV', 'S inan gen', 'НА', 'S inan acc', 'A - ins sg plen m -', 'S inan ins', '.']",0.16621279570641115,0.2270680005179575
39,39,1,бомбардировать#40,"['изображение', 'который', 'телевидение', 'кино', 'персональный', 'компьютер', 'наглядно', 'демонстрировать', 'мощь', 'современный', 'график']","['S inan acc', ',', 'A - ins pl plen - -', 'V ipf praes indic', 'SPRO', 'S inan nom', ',', 'S inan nonflex', ',', 'CONJ', 'ADV', 'CONJ', 'A - nom pl plen - -', 'S inan nom', ',', 'ADV', 'V ipf praes indic', 'S inan acc', 'A - gen sg plen f -', 'NUM', 'NUM', '-', 'S inan nom', '.']",0.21462878582954828,0.23831134876812232
40,40,1,бомбардировать#41,"['неделя', 'служба', 'поддержка', 'сервис', 'получить', 'один', 'ответ']","['PR', 'NUM', 'S inan gen', 'SPRO', 'V ipf praet indic', 'S inan acc', 'S inan gen', 'A - acc sg plen m anim', 'S inan gen', ',', 'CONJ', 'PART', 'V pf praet indic', 'PART', 'A - gen sg plen m -', 'S inan gen', '.']",0.16434544527532574,0.2012759255465294
41,41,1,бомбардировать#42,"['последний', 'год', 'находить', 'новый', 'мифический', 'долг', 'вновь', 'ультиматум']","['CONJ', 'A - acc pl plen - inan', ',', 'СПУСТЯ', 'ОКОЛО', 'S inan gen', ',', 'V ipf praes indic', 'A - nom sg plen m -', 'A - nom sg plen m -', 'S inan nom', 'CONJ', 'ADV', 'V ipf praes indic', 'SPRO', 'S inan ins', '.']",0.1701218121127912,0.21952852211627896
42,42,1,бомбардировать#43,"['начать', 'регулярно', 'предложение', 'скачать', 'новый', 'микс', 'оценить', 'проект', 'знак-кавычки', 'знак-кавычки']","['ПОСЛЕ', 'S - gen', 'SPRO', 'V pf fut indic', 'ADV', 'V ipf - inf', 'S inan ins', '«', 'V pf - inf', 'A - nom sg plen m -', 'A - nom sg plen m -', 'S inan nom', '»', 'CONJ', '«', 'V pf - inf', 'A - nom sg plen m -', 'A - nom sg plen m -', 'S inan nom', '»', '.']",0.17615431789886388,0.20537709903897708
43,43,1,бомбардировать#44,"['неожиданно', 'влюбиться', 'второй', 'летний', 'баронесса', 'александр', 'бистр', 'который', 'месяц', 'любовный', 'письмо', 'страница', 'день', 'описывать', 'достоинство', 'недостаток']","['CONJ', 'ADV', 'ДЛЯ', 'SPRO', 'V pf praet indic', 'ВО', 'A - acc sg plen m inan', 'S inan acc', '—', 'В', 'NUM', '-', 'A - acc sg plen f -', 'S anim acc', 'S anim dat', 'S inan ins', ',', 'A - acc sg plen f -', 'SPRO', 'NUM', 'S inan gen', 'V ipf praet indic', 'A - ins pl plen - -', 'S inan ins', ',', 'ПО', 'NUM', '-', 'NUM', 'S inan gen', 'В', 'S inan acc', ',', 'ADV', 'V ipf praet indic', 'A - acc pl plen - inan', 'A - nom pl plen - -', 'S inan nom', 'CONJ', 'S inan acc', '.']",0.20680004916551054,0.2292448743513225
44,44,1,бомбардировать#45,"['энтузиаст', 'отчет', 'предложение', 'минавиапр', 'ссср', 'нии', 'ввс', 'военно-воздушный', 'академия', 'имя', 'жуковский', 'кгб', 'отклик', 'находить']","['INTJ', ',', 'CONJ', 'S anim nom', 'V ipf praet indic', 'A - ins pl plen - -', 'S inan ins', 'CONJ', 'S inan ins', 'CONJ', 'S inan ins', 'S inan gen', ',', 'CONJ', 'S inan nonflex', 'S - nonflex', ',', 'CONJ', 'A - acc sg plen f -', 'S inan acc', 'S inan gen', 'S anim gen', ',', 'CONJ', 'PART', 'S inan nom', 'S inan gen', ',', 'S inan gen', 'SPRO', 'PART', 'V ipf praet indic', '.']",0.1789475629582938,0.21417832813927423
45,45,1,бомбардировать#46,"['стать', 'замкнутый', 'ученый', 'заведение', 'подробнейший', 'отчет', 'изыскание']","['SPRO', 'V pf praet indic', 'A - ins sg plen m -', '-', 'CONJ', 'ДО', 'S - gen', 'V ipf praet indic', 'S anim nom', 'S inan acc', 'A comp2 - - plen - -', 'S inan ins', 'ОБО', 'A - loc pl plen - -', 'A - loc pl plen - -', 'S inan loc', '.']",0.16869202466792124,0.21028723136986796
46,46,1,бомбардировать#47,"['ленин', 'украина', 'телеграмма', 'млн', 'пуд', 'хлеб', 'который', 'околеть', 'знак-кавычки']","['S anim nom', 'V ipf praet indic', 'S inan acc', 'S inan ins', 'О', 'A - loc pl plen - -', 'NUM', 'S - -', 'S inan gen', 'S inan gen', ',', 'БЕЗ', 'A - gen pl plen - -', '«', 'SPRO', 'V pf - imper', 'S - acc', '»', '.']",0.24048286049522566,0.2172207922220443
