sent,verb,Class,sent_with_target
"Явно потрясенный тем , что ему удалось обнаружить в этих документах , ван де Вивер начал своего предшественника в должности Уоттса электронными письмами , сообщавшими о том , что « преждевременные » и « сверхоптимистичные » данные о запасах создали ложное представление о компании .",бомбардировать,1,"Явно потрясенный тем , что ему удалось обнаружить в этих документах , ван де Вивер начал TARGET своего предшественника в должности Уоттса электронными письмами , сообщавшими о том , что « преждевременные » и « сверхоптимистичные » данные о запасах создали ложное представление о компании ."
"Согласно этому исследованию , 65 % населения США считают , что их постоянно рекламой , а 59 % уверены , что реклама не оказывает никакого влияния на их потребительский выбор .",бомбардировать,1,"Согласно этому исследованию , 65 % населения США считают , что их постоянно TARGET рекламой , а 59 % уверены , что реклама не оказывает никакого влияния на их потребительский выбор ."
"Напротив , рок-музыка насильно их проповедью взрослого секса и даже извращений , подталкивая их к извращенному половому поведению .",бомбардировать,1,"Напротив , рок-музыка насильно TARGET их проповедью взрослого секса и даже извращений , подталкивая их к извращенному половому поведению ."
"Эти источники будут вас бесконечными фактами и числами , теориями и понятиями .",бомбардировать,1,"Эти источники будут вас TARGET бесконечными фактами и числами , теориями и понятиями ."
"Фильмы должны быть быстрыми , зрителя , не дать ему расслабиться .",бомбардировать,1,"Фильмы должны быть быстрыми , TARGET зрителя , не дать ему расслабиться ."
"Ну , так вот , один из братьев держался особняком от остальных и все время врачей устными и письменными заявлениями о том , что он нормальный и не должен сидеть в психушке .",бомбардировать,1,"Ну , так вот , один из братьев держался особняком от остальных и все время TARGET врачей устными и письменными заявлениями о том , что он нормальный и не должен сидеть в психушке ."
"Только тогда услуга рекрутмента будет признана профессиональным сервисом , а не брокерством резюме соискателей , которыми клиентов агентства по подбору , при этом кандидаты даже не всегда знают о том , что агентство их представило в качестве соискателя в ту или иную компанию .",бомбардировать,1,"Только тогда услуга рекрутмента будет признана профессиональным сервисом , а не брокерством резюме соискателей , которыми TARGET клиентов агентства по подбору , при этом кандидаты даже не всегда знают о том , что агентство их представило в качестве соискателя в ту или иную компанию ."
"Интересно , что происходит , когда потребителя ежедневно большее количество повторяющейся рекламы одной марки ?",бомбардировать,1,"Интересно , что происходит , когда потребителя ежедневно TARGET большее количество повторяющейся рекламы одной марки ?"
"Чем ближе 2012 год , тем больше нас публикациями об апокалипсисе , основанном на календаре майя , и регулярными объявлениями о конце света .",бомбардировать,1,"Чем ближе 2012 год , тем больше нас TARGET публикациями об апокалипсисе , основанном на календаре майя , и регулярными объявлениями о конце света ."
"Регулярно писала ему письма , заботливо справлялась о состоянии его здоровья и его подробными отчетами о достоинствах Джулиана , его красоте и успехах в учебе .",бомбардировать,1,"Регулярно писала ему письма , заботливо справлялась о состоянии его здоровья и TARGET его подробными отчетами о достоинствах Джулиана , его красоте и успехах в учебе ."
"В 1946 - 1947 годах П. Л. Капица буквально вождей - И. В. Сталина , Г. М. Маленкова , Л. П. Берию - письмами , в которых утверждалось , что опыт войны совершенно изменил представления о роли и значении науки , приводились аргументы в пользу создания особого вуза , в котором полноценно раскрылись бы « специальные методы обучения , рассчитанные на максимальное развитие творческой инициативы и индивидуально приспособленные к особенностям каждого учащегося » .",бомбардировать,1,"В 1946 - 1947 годах П. Л. Капица буквально TARGET вождей - И. В. Сталина , Г. М. Маленкова , Л. П. Берию - письмами , в которых утверждалось , что опыт войны совершенно изменил представления о роли и значении науки , приводились аргументы в пользу создания особого вуза , в котором полноценно раскрылись бы « специальные методы обучения , рассчитанные на максимальное развитие творческой инициативы и индивидуально приспособленные к особенностям каждого учащегося » ."
"« “ Битва за сознание потребителя ” воспринимается как своеобразная игра : компании стремятся заполучить наше расположение и нас рекламой и PR - акциями — ОК , мы с интересом понаблюдаем за этими попытками »",бомбардировать,1,"« “ Битва за сознание потребителя ” воспринимается как своеобразная игра : компании стремятся заполучить наше расположение и TARGET нас рекламой и PR - акциями — ОК , мы с интересом понаблюдаем за этими попытками »"
"Долгие недели после крупного события нас свидетельствами очевидцев , сотни раз прокручивают одни и те же кадры , шокируют ранее неизвестными подробностями .",бомбардировать,1,"Долгие недели после крупного события нас TARGET свидетельствами очевидцев , сотни раз прокручивают одни и те же кадры , шокируют ранее неизвестными подробностями ."
А уж потом через них можно нас рекламой « персонально » .,бомбардировать,1,А уж потом через них можно TARGET нас рекламой « персонально » .
"Сто дней , на протяжении которых страну буквально разоблачениями , чей размах выходил за рамки трагических событий зимы II года в Нанте .",бомбардировать,1,"Сто дней , на протяжении которых страну буквально TARGET разоблачениями , чей размах выходил за рамки трагических событий зимы II года в Нанте ."
"Новый талант самозародился в ru _ kino . С настойчивостью , достойной лучшего применения , он сообщников своими "" высокохудожественными "" рецензиями .",бомбардировать,1,"Новый талант самозародился в ru _ kino . С настойчивостью , достойной лучшего применения , он TARGET сообщников своими "" высокохудожественными "" рецензиями ."
"Целый год он безрезультатно "" "" высшие инстанции рапортами с просьбой отправить его на фронт , а в июне 1942 - го попросту сбежал на войну на опытном истребителе ЛаГГ - 3 , сделав на прощание три "" мертвые петли "" под мостом через Волгу .",бомбардировать,1,"Целый год он безрезультатно "" TARGET "" высшие инстанции рапортами с просьбой отправить его на фронт , а в июне 1942 - го попросту сбежал на войну на опытном истребителе ЛаГГ - 3 , сделав на прощание три "" мертвые петли "" под мостом через Волгу ."
"Оглядываясь назад , я думаю , что если бы мы тогда сменили рекламные агентства и начали потребителей еще большим числом резонов , почему им следует покупать Coke , как мы сделали это позже , это могло бы подействовать .",бомбардировать,1,"Оглядываясь назад , я думаю , что если бы мы тогда сменили рекламные агентства и начали TARGET потребителей еще большим числом резонов , почему им следует покупать Coke , как мы сделали это позже , это могло бы подействовать ."
"Вокруг курсов « пасётся » немало рекрутинговых компаний , недавних выпускников заманчивыми предложениями .",бомбардировать,1,"Вокруг курсов « пасётся » немало рекрутинговых компаний , TARGET недавних выпускников заманчивыми предложениями ."
Они буквально службу « 911 » своими нелепыми звонками .,бомбардировать,1,Они буквально TARGET службу « 911 » своими нелепыми звонками .
Средства массовой информации духовные основы общества .,бомбардировать,1,Средства массовой информации TARGET духовные основы общества .
"Последние несколько лет СМИ публику сообщениями о новых эпидемиях гриппа , а два десятилетия назад журналисты твердили быстро ставшую штампом фразу о « чуме XX века » — синдроме приобретенного иммунодефицита .",бомбардировать,1,"Последние несколько лет СМИ TARGET публику сообщениями о новых эпидемиях гриппа , а два десятилетия назад журналисты твердили быстро ставшую штампом фразу о « чуме XX века » — синдроме приобретенного иммунодефицита ."
